NOM_COM,INSEE_COM,POPULATION,surface,r,distance_interne,x,y
Magny-la-Fosse,2451,125,3.687,0.611,0.553,721,6983
Magnieu,1227,640,11.462,1.078,0.976,910,6523
Becquigny,2061,260,4.723,0.692,0.627,731,6991
Pont-l'Évêque,14514,4740,13.176,1.155,1.046,496,6915
Lehaucourt,2374,886,9.390,0.975,0.883,721,6978
Saint-Martin-Rivière,2683,121,5.531,0.749,0.678,740,6995
Saint-Julien-d'Intres,7103,343,21.281,1.468,1.329,803,6433
Cambremer,14126,1356,27.649,1.674,1.516,484,6902
Saint-Désir,14574,1696,19.500,1.406,1.273,497,6895
Val-de-Dagne,11251,726,51.697,2.289,2.072,664,6229
Arles,13004,52857,756.846,8.757,7.929,842,6290
Cernay,14147,144,5.876,0.772,0.699,505,6884
Valorbiquet,14570,2507,28.892,1.711,1.549,502,6888
Espins,14248,237,4.553,0.679,0.615,451,6884
Condé-en-Normandie,14174,6671,63.194,2.530,2.291,436,6873
Courtonne-les-Deux-Églises,14194,659,14.068,1.194,1.081,506,6892
Croisilles,14207,644,10.211,1.017,0.921,448,6882
Terres de Druance,14357,966,37.521,1.950,1.766,429,6878
Lisieux,14366,20301,13.083,1.151,1.042,500,6899
Périgny,14496,58,2.668,0.520,0.471,435,6874
Semousies,59563,246,3.115,0.562,0.509,770,7007
Pontécoulant,14512,81,2.393,0.492,0.445,437,6870
Montillières-sur-Orne,14713,605,9.421,0.977,0.885,444,6887
Courcôme,16110,806,29.964,1.742,1.577,474,6546
Aigre,16005,1602,23.797,1.553,1.406,469,6537
La Barde,17033,498,21.339,1.470,1.331,460,6449
Dompierre-sur-Mer,17142,5387,18.406,1.366,1.237,388,6576
Puilboreau,17291,5993,8.010,0.901,0.816,384,6572
Saint-Hilaire-de-Villefranche,17344,1308,25.854,1.619,1.466,425,6532
Baugy,18023,1725,48.401,2.215,2.005,679,6661
Corquoy,18073,217,36.830,1.932,1.749,643,6643
Beaulieu-sur-Dordogne,19019,1320,16.981,1.312,1.188,610,6435
Chassagne-Montrachet,21150,308,6.505,0.812,0.735,832,6651
Corpeau,21196,961,4.681,0.689,0.624,835,6648
Saint-Aubin,21541,223,9.481,0.980,0.887,830,6649
Boulazac Isle Manoire,24053,10557,57.551,2.415,2.187,530,6447
Calès,24073,392,8.056,0.903,0.818,527,6423
Saint-Privat,34286,403,27.001,1.654,1.498,738,6294
Coursac,24139,2132,25.297,1.601,1.450,515,6448
Église-Neuve-de-Vergt,24160,546,7.702,0.883,0.799,522,6444
Eygurande-et-Gardedeuil,24165,398,36.144,1.914,1.733,470,6445
Lacropte,24220,657,27.072,1.656,1.499,533,6440
Molières,24273,327,21.082,1.462,1.324,526,6416
La Roche-Chalais,24354,2987,89.778,3.016,2.731,463,6454
Saint-Bohaire,41203,491,13.857,1.185,1.073,570,6729
Saint-Pierre-de-Chignac,24484,869,15.725,1.262,1.143,534,6447
La Vieille-Lyre,27685,655,19.710,1.413,1.279,535,6874
Pays-de-Clerval,25156,1231,22.563,1.512,1.369,961,6705
Fontain,25245,1289,21.391,1.472,1.333,933,6681
Tarcenay-Foucherans,25558,1487,24.133,1.564,1.416,936,6681
Châtillon-en-Diois,26086,667,110.258,3.342,3.026,894,6404
Chambois,27032,1356,27.402,1.666,1.508,567,6870
Domloup,35099,3354,18.427,1.366,1.237,360,6787
Authon-du-Perche,28018,1519,35.212,1.889,1.710,541,6790
Bailleau-Armenonville,28023,1399,17.822,1.344,1.217,599,6824
Gallardon,28168,3654,11.339,1.072,0.971,602,6828
Gas,28172,788,12.259,1.114,1.009,602,6832
Saint-Gilles,30258,13615,152.179,3.927,3.556,813,6298
Yermenonville,28423,589,5.140,0.722,0.654,598,6827
Plouigneau,29199,5107,65.352,2.573,2.330,210,6848
Poullaouen,29227,1510,89.104,3.005,2.721,211,6830
Arboras,34011,126,6.570,0.816,0.739,737,6293
Montpeyroux,34173,1334,22.565,1.512,1.369,739,6295
Saint-Béat-Lez,31471,404,9.938,1.003,0.908,513,6203
Riscle,32344,1802,36.889,1.933,1.750,455,6283
Saint-Christophe-de-Double,33385,725,36.136,1.913,1.732,466,6443
Saint-Saturnin-de-Lucian,34287,287,9.834,0.998,0.904,739,6287
Montauban-de-Bretagne,35184,5747,46.112,2.162,1.958,322,6805
Saint-Marc-le-Blanc,35292,1682,22.999,1.527,1.383,374,6815
Domblans,39199,1212,14.775,1.224,1.108,900,6632
Saint-Maurice-l'Exil,38425,6092,13.442,1.167,1.057,842,6480
Brevans,39078,660,3.642,0.607,0.550,892,6672
Dampierre,39190,1266,9.668,0.990,0.896,906,6679
La Chapelle-Vendômoise,41040,763,13.221,1.157,1.048,570,6730
Morcenx-la-Nouvelle,40197,5077,138.342,3.744,3.390,394,6339
Derval,44051,3488,63.833,2.543,2.302,350,6734
Treillières,44209,8978,29.164,1.719,1.556,347,6706
Vigneux-de-Bretagne,44217,5923,52.914,2.315,2.096,348,6700
Saint-Paul-Flaugnac,46103,994,51.576,2.286,2.070,578,6358
Montdoumerc,46202,531,13.613,1.174,1.063,581,6354
Sauveterre-de-Béarn,64513,1387,14.548,1.214,1.099,383,6267
Avranches,50025,10068,11.030,1.057,0.957,378,6853
Moyon Villages,50363,1503,33.044,1.830,1.657,398,6889
Saint-Martin-de-Bonfossé,50512,531,12.839,1.141,1.033,393,6888
Quettehou,50417,1786,20.084,1.427,1.292,385,6949
Tirepied-sur-Sée,50597,936,22.898,1.523,1.379,383,6854
Évron,53097,8757,69.119,2.646,2.396,451,6787
Ferrières-en-Brie,77181,3222,6.160,0.790,0.715,680,6856
Demange-Baudignécourt,55150,570,31.236,1.779,1.611,880,6837
Bernay-Neuvy-en-Champagne,72219,861,25.239,1.599,1.448,476,6776
Ploërmel,56165,9890,58.517,2.435,2.205,302,6773
Saint-Souplet,59545,1233,12.675,1.133,1.026,736,6997
Pluméliau-Bieuzy,56173,4395,87.424,2.976,2.695,254,6786
Gros-Réderching,57261,1338,15.721,1.262,1.143,1008,6897
Obergailbach,57517,317,8.988,0.954,0.864,1010,6898
Busigny,59118,2488,16.525,1.294,1.172,732,6996
Floursies,59240,128,4.675,0.688,0.623,769,7012
Formerie,60245,2145,12.732,1.136,1.029,608,6948
Mortrée,61294,1189,32.592,1.817,1.645,487,6841
Saint-Diéry,63335,476,24.545,1.577,1.428,702,6496
Bonnières,62154,674,27.083,1.657,1.500,651,7017
Saint-Martin-lez-Tatinghem,62757,5897,10.401,1.027,0.930,642,7073
Saint-Omer,62765,14443,16.512,1.293,1.171,647,7078
OraÃ s,64423,173,10.585,1.036,0.938,381,6268
Athos-Aspis,64071,211,5.931,0.775,0.702,379,6263
Chagny,71073,5605,18.904,1.384,1.253,832,6645
Marolles-les-Braults,72189,2210,24.372,1.571,1.422,499,6797
Bussy-Saint-Georges,77058,26971,15.291,1.245,1.127,680,6861
Chenoise-Cucharmoy,77109,1611,48.777,2.223,2.013,710,6833
La Celle-Saint-Cloud,78126,20973,5.845,0.770,0.697,635,6860
Valdelaume,79140,866,51.130,2.276,2.061,468,6561
Chef-Boutonne,79083,2583,40.834,2.034,1.842,460,6564
Melle,79174,6284,65.704,2.580,2.336,463,6579
Thouars,79329,14055,81.840,2.880,2.608,457,6661
Hombleux,80442,1173,15.760,1.264,1.144,703,6961
Albi,81004,49024,44.948,2.134,1.932,629,6311
Le Sequestre,81284,1755,5.557,0.750,0.679,626,6313
Carlus,81059,682,10.803,1.046,0.947,630,6312
Montpezat-de-Quercy,82131,1558,43.963,2.111,1.911,578,6355
La Farlède,83054,8768,8.375,0.921,0.834,946,6233
Solliès-Ville,83132,2412,14.132,1.197,1.084,945,6234
Les Sables-d'Olonne,85194,43219,85.946,2.951,2.672,338,6606
Gland,89191,39,16.779,1.304,1.181,790,6746
Sennevoy-le-Haut,89386,117,8.896,0.949,0.859,796,6745
Gennevilliers,92036,46653,11.629,1.085,0.982,648,6873
Arvière-en-Valromey,1453,716,41.309,2.046,1.852,914,6535
Coteaux-du-Blanzacais,16046,1049,23.930,1.557,1.410,468,6490
Rouillac,16286,2984,56.844,2.400,2.173,465,6532
Saint-Sornin,16353,808,11.267,1.068,0.967,499,6516
Jumelles,27360,315,7.300,0.860,0.779,569,6868
Brantôme en Périgord,24064,3747,137.906,3.738,3.384,525,6475
Levroux,36093,2957,82.628,2.893,2.619,587,6651
Les Trois Châteaux,39378,772,19.393,1.402,1.269,882,6590
Nanchez,39130,800,31.463,1.785,1.616,917,6603
Carentan-les-Marais,50099,10148,136.141,3.714,3.363,392,6927
Mesnils-sur-Iton,27198,6116,125.047,3.559,3.222,562,6865
Gouville-sur-Mer,50215,3154,35.024,1.884,1.706,375,6897
Sainte-Mère-Église,50523,3107,52.702,2.311,2.092,390,6933
Bourmont-entre-Meuse-et-Mouzon,52064,814,42.845,2.084,1.887,898,6792
MontsÃ»rs,53161,3272,68.678,2.638,2.388,440,6796
Val-de-Moder,67372,5135,9.062,0.958,0.867,1039,6868
Porte des Pierres Dorées,69159,3686,13.525,1.171,1.060,827,6544
Héricourt,70285,10646,21.050,1.460,1.322,979,6727
La Léchère,73187,2543,128.989,3.615,3.273,964,6495
Valserhône,1033,16302,62.878,2.524,2.285,921,6565
Bresse Vallons,1130,2263,26.170,1.628,1.474,865,6580
Lavans-lès-Saint-Claude,39286,2498,23.635,1.547,1.401,912,6588
Bourgvallées,50546,3193,48.968,2.227,2.016,392,6884
Airvault,79005,3289,64.121,2.549,2.308,463,6643
Saint-Martin-la-Pallu,86281,5553,95.178,3.105,2.811,484,6634
Les Belleville,73257,3488,227.834,4.805,4.351,974,6489
Celles-sur-Belle,79061,3884,41.876,2.060,1.865,448,6575
Aigondigné,79185,4789,70.459,2.672,2.419,449,6574
Sainte-Menehould,51507,4110,57.231,2.408,2.180,846,6890
Ancenis-Saint-Géréon,44003,10595,27.787,1.678,1.519,381,6703
Auzouville-l'Esneval,76045,360,5.672,0.758,0.686,548,6950
Valromey-sur-Séran,1036,1299,56.611,2.395,2.168,907,6538
Montgenèvre,5085,483,39.707,2.006,1.816,993,6438
Yves,17483,1475,25.933,1.621,1.468,388,6560
Laudun-l'Ardoise,30141,6204,34.093,1.859,1.683,830,6334
Névache,5093,357,191.072,4.400,3.984,982,6439
Chusclan,30081,981,13.227,1.158,1.048,837,6342
Orsan,30191,1125,6.979,0.841,0.761,833,6340
Saint-Étienne-des-Sorts,30251,561,9.714,0.992,0.898,837,6342
Caupenne-d'Armagnac,32094,431,21.661,1.481,1.341,451,6301
Laujuzan,32202,274,11.453,1.077,0.975,449,6308
Arnéguy,64047,236,21.160,1.464,1.326,352,6234
Quettreville-sur-Sienne,50419,3199,49.829,2.247,2.034,371,6882
Eyne,66075,124,20.498,1.441,1.305,628,6151
Dourlers,59181,585,8.705,0.939,0.850,767,7007
Estérençuby,64218,354,45.816,2.155,1.951,358,6234
Lasse,64322,329,14.799,1.225,1.109,354,6239
Lées-Athas,64330,267,43.968,2.111,1.911,405,6217
Lecumberry,64327,171,58.106,2.426,2.197,366,6238
Lescun,64336,179,61.642,2.499,2.263,401,6204
Saint-Michel,64492,292,29.830,1.739,1.575,355,6236
Llo,66100,169,28.564,1.701,1.540,624,6148
Itteville,91315,6633,12.291,1.116,1.010,650,6824
Séez,73285,2364,42.664,2.079,1.882,999,6517
Saint-Ouen-de-Mimbré,72305,1021,10.725,1.042,0.943,480,6803
Ballancourt-sur-Essonne,91045,7627,11.426,1.076,0.974,654,6827
Baulne,91047,1318,8.191,0.911,0.825,656,6823
Surjoux-Lhopital,1215,126,8.051,0.903,0.818,911,6550
Cessières-Suzy,2153,764,19.884,1.419,1.285,737,6938
Saint-Laurent-les-Bains-Laval-d'Aurelle,7262,178,35.695,1.902,1.722,780,6387
Abriès-Ristolas,5001,382,161.100,4.040,3.658,1010,6414
Villeneuve-sur-Aisne,2360,2673,25.189,1.598,1.447,767,6930
Anizy-le-Grand,2018,2527,20.922,1.456,1.318,728,6933
Vallées-d'Antraigues-Asperjoc,7011,952,22.243,1.501,1.359,805,6401
Val-de-Sos,9334,656,53.357,2.325,2.105,577,6187
Aulos-Sinsat,9296,173,5.136,0.721,0.653,591,6191
Val-du-Faby,11131,572,24.660,1.581,1.431,634,6206
Cesny-les-Sources,14150,1328,33.899,1.853,1.678,451,6879
Roquetaillade-et-Conilhac,11323,276,16.335,1.286,1.164,633,6212
Le Castelet,14554,1455,12.595,1.130,1.023,458,6891
Castine-en-Plaine,14538,1442,8.276,0.916,0.829,457,6895
Goupil-Othon,27290,1257,14.932,1.230,1.114,538,6896
Thibouville,27630,307,8.841,0.946,0.857,538,6896
Éole-en-Beauce,28406,1244,104.227,3.250,2.943,595,6792
Fozières,34106,167,5.418,0.741,0.671,727,6294
Soumont,34306,188,11.172,1.064,0.963,728,6289
Châtelaudren-Plouagat,22206,3844,32.855,1.825,1.652,261,6841
Valforêt,21178,326,22.069,1.495,1.354,845,6685
Lagarde-Marc-la-Tour,19098,979,28.229,1.691,1.531,604,6453
Val-d'Auge,16339,821,44.878,2.132,1.930,458,6534
Saint-Dizier-Masbaraud,23189,1122,67.150,2.608,2.361,606,6547
Mainxe-Gondeville,16153,1178,15.604,1.257,1.138,453,6509
Longeault-Pluvault,21352,1124,4.711,0.691,0.626,870,6683
Linard-Malval,23109,208,16.661,1.299,1.176,613,6584
Terres-de-Haute-Charente,16192,3982,86.566,2.962,2.682,515,6528
Marennes-Hiers-Brouage,17219,6273,52.787,2.313,2.094,379,6533
Laguenne-sur-Avalouze,19101,1550,12.177,1.111,1.006,606,6459
Plouguenast-Langast,22219,2492,55.515,2.372,2.148,279,6809
La Rochefoucauld-en-Angoumois,16281,4003,24.257,1.568,1.420,498,6521
Le Val-Larrey,21272,265,20.154,1.429,1.294,802,6703
Tart,21623,1584,13.682,1.177,1.066,870,6678
Lamballe-Armor,22093,16553,132.091,3.658,3.312,292,6837
Moulins-sur-Tardoire,16406,776,22.178,1.499,1.357,499,6513
Langoat,22101,1165,18.718,1.377,1.247,240,6868
Coly-Saint-Amand,24364,605,35.435,1.895,1.716,559,6437
Saint-Julien-Innocence-Eulalie,24423,294,19.740,1.414,1.280,494,6408
Eyraud-Crempse-Maurens,24259,1600,50.610,2.264,2.050,502,6432
Sanguinet,40287,4009,100.553,3.192,2.890,376,6390
Saint-Cloud,92064,30193,7.517,0.873,0.790,643,6860
Ychoux,40332,2265,111.272,3.358,3.040,379,6377
Parentis-en-Born,40217,6094,124.548,3.552,3.216,379,6377
Biscarrosse,40046,14214,193.099,4.423,4.005,366,6384
Ville-d'Avray,92077,11509,3.694,0.612,0.554,640,6857
Quincy-sous-Sénart,91514,8957,5.240,0.729,0.660,665,6840
La Roche-Jaudy,22264,2721,29.969,1.743,1.578,243,6868
Les Eyzies,24172,1092,55.679,2.375,2.150,543,6432
Valherbasse,26210,1002,43.958,2.110,1.910,864,6460
Sigoulès-et-Flaugeac,24534,1244,18.262,1.360,1.231,495,6408
Frenelles-en-Vexin,27070,1688,29.198,1.720,1.557,591,6910
Treis-Sants-en-Ouche,27516,1425,30.964,1.771,1.603,523,6888
Le Mesnil-Saint-Jean,27541,202,7.916,0.896,0.811,523,6904
Le Perrey,27263,1235,21.592,1.479,1.339,524,6925
Saint-Denis-Lanneray,28334,2264,40.783,2.033,1.841,574,6776
Arcisses,28236,2209,45.844,2.155,1.951,542,6806
Saintigny,28331,1009,45.284,2.142,1.939,554,6803
Bréau-Mars,30052,599,28.474,1.699,1.538,747,6321
Val-d'Aigoual,30339,1469,95.602,3.112,2.818,746,6336
Val-Couesnon,35004,4214,79.576,2.839,2.570,369,6830
Entre-Vignes,34246,2123,16.942,1.310,1.186,788,6294
Val-de-Livenne,33380,1739,37.382,1.946,1.762,421,6471
Luitré-Dompierre,35163,1872,39.154,1.992,1.804,399,6809
Rives-du-Couesnon,35282,2845,49.174,2.232,2.021,379,6811
Pessat-Villeneuve,63278,656,6.256,0.796,0.721,711,6536
Mesnil-Roc'h,35308,4279,41.521,2.051,1.857,337,6826
Plateau-des-Petites-Roches,38395,2460,36.738,1.929,1.747,922,6470
Chantepérier,38073,210,81.522,2.874,2.602,939,6436
Le Haut-Bréda,38163,403,118.679,3.468,3.140,938,6465
Villentrois-Faverolles-en-Berry,36244,913,74.108,2.740,2.481,583,6675
Ornacieux-Balbins,38284,848,12.227,1.113,1.008,872,6480
Val-de-Virieu,38560,1558,16.256,1.283,1.162,894,6491
Porte-des-Bonnevaux,38479,2011,44.083,2.113,1.913,879,6484
Gardanne,13041,20407,27.162,1.659,1.502,898,6267
Rognes,13082,4765,58.245,2.429,2.199,895,6283
Faches-Thumesnil,59220,17591,4.614,0.684,0.619,706,7054
Meyreuil,13060,5543,20.142,1.429,1.294,905,6268
La Roque-d'Anthéron,13084,5455,25.394,1.604,1.452,887,6295
Wattignies,59648,14485,6.307,0.799,0.723,703,7053
Branges,71056,2364,24.733,1.583,1.433,863,6617
Louhans,71263,6349,22.754,1.518,1.374,869,6615
Chassal-Molinges,39339,1137,7.855,0.892,0.808,915,6587
Beaufort-Orbagna,39043,1349,17.332,1.325,1.200,888,6610
Grande-Rivière Château,39258,630,39.449,1.999,1.810,921,6604
Campagnan,34047,658,3.803,0.621,0.562,739,6271
Saclas,91533,1779,13.669,1.177,1.066,635,6810
Saint-Cyr-la-Rivière,91544,517,8.833,0.946,0.857,635,6803
Le Controis-en-Sologne,41059,6822,100.755,3.195,2.893,575,6700
Vézelin-sur-Loire,42268,781,39.668,2.005,1.815,781,6536
Vallée-de-Ronsard,41070,525,20.034,1.425,1.290,529,6742
Vêtre-sur-Anzon,42245,549,20.370,1.437,1.301,766,6526
Le Vignon-en-Quercy,46232,1028,21.678,1.482,1.342,593,6433
Cressensac-Sarrazac,46083,1131,41.321,2.046,1.852,586,6434
Porte-du-Quercy,46033,580,49.165,2.232,2.021,552,6373
Barguelonne-en-Quercy,46263,681,46.233,2.164,1.959,560,6362
Plateau d'Hauteville,1185,4845,106.411,3.284,2.973,896,6536
Condat,15054,1006,40.559,2.027,1.835,683,6476
Évosges,1155,145,12.033,1.104,1.000,895,6546
Mehun-sur-Yèvre,18141,6571,24.434,1.573,1.424,643,6669
Port-Brillet,53182,1817,8.224,0.913,0.827,403,6786
Le Péage-de-Roussillon,38298,6652,7.451,0.869,0.787,837,6476
Gonfreville-l'Orcher,76305,9146,26.539,1.640,1.485,498,6939
Harfleur,76341,8409,4.218,0.654,0.592,496,6940
Corlier,1121,113,5.547,0.750,0.679,892,6550
Foëcy,18096,2084,16.292,1.285,1.163,636,6673
Aranc,1012,326,21.714,1.483,1.343,895,6550
Prémillieu,1311,46,8.508,0.928,0.840,897,6535
Malouy,27381,161,3.133,0.563,0.510,519,6894
Saint-Barthélemy,38363,944,7.679,0.882,0.799,864,6474
Turretot,76716,1471,6.120,0.787,0.713,501,6951
Saint-Géron,43191,258,10.868,1.049,0.950,722,6473
Torsiac,43247,71,9.185,0.965,0.874,714,6473
Brioude,43040,6718,13.516,1.170,1.059,728,6467
Saint-Étienne-sur-Blesle,43182,56,17.952,1.349,1.221,710,6465
Paulhac,43147,642,8.677,0.938,0.849,725,6464
Grenier-Montgon,43103,115,5.131,0.721,0.653,719,6465
Louverné,53140,4228,20.833,1.453,1.316,425,6790
Cohade,43074,853,10.100,1.012,0.916,727,6473
Bournoncle-Saint-Pierre,43038,996,16.197,1.281,1.160,724,6474
La Chapelle-Anthenaise,53056,1009,20.208,1.431,1.296,426,6784
Forcé,53099,1067,5.047,0.715,0.647,425,6778
Lorlanges,43123,372,14.636,1.218,1.103,722,6472
Espalem,43088,298,14.721,1.221,1.106,717,6470
Ahuillé,53001,1812,30.586,1.760,1.594,407,6778
Entrammes,53094,2249,26.826,1.649,1.493,424,6775
Saint-Berthevin,53201,7344,32.212,1.807,1.636,410,6782
Beaumont,43022,290,12.265,1.115,1.010,729,6468
Blesle,43033,635,29.902,1.741,1.576,715,6464
Saint-Ilpize,43195,190,11.766,1.092,0.989,731,6459
Autrac,43014,62,8.466,0.926,0.838,709,6470
Châlons-du-Maine,53049,708,9.856,0.999,0.905,430,6792
Saint-Laurent-Chabreuges,43207,263,8.363,0.921,0.834,729,6463
Saint-Just-près-Brioude,43206,426,47.114,2.185,1.978,729,6456
Argentré,53007,2782,37.211,1.942,1.758,428,6781
Changé,53054,5950,35.700,1.902,1.722,412,6787
Montigné-le-Brillant,53157,1255,17.877,1.346,1.219,416,6778
Saint-Beauzire,43170,381,23.632,1.547,1.401,721,6460
Saint-Ouën-des-Toits,53243,1746,21.232,1.467,1.328,414,6791
La BrÃ»latte,53045,704,15.526,1.254,1.135,407,6785
Beaulieu-sur-Oudon,53026,504,20.211,1.431,1.296,399,6773
La Gravelle,53108,532,6.265,0.797,0.722,400,6782
Saint-Germain-le-Fouilloux,53224,1158,15.676,1.260,1.141,414,6789
Bonchamp-lès-Laval,53034,5948,27.580,1.672,1.514,426,6785
Olivet,53169,417,9.900,1.002,0.907,407,6785
Montflours,53156,255,7.987,0.900,0.815,423,6794
Louvigné,53141,1137,12.734,1.136,1.029,429,6777
L'Huisserie,53119,4213,15.137,1.238,1.121,417,6777
Le Bourgneuf-la-Forêt,53039,1799,28.958,1.713,1.551,406,6796
Loiron-Ruillé,53137,2640,40.087,2.015,1.824,411,6780
Soulgé-sur-Ouette,53262,1087,23.204,1.533,1.388,432,6781
Fontannes,43096,962,9.950,1.004,0.909,736,6466
Vieille-Brioude,43262,1203,27.864,1.680,1.521,736,6459
Chaniat,43055,172,13.999,1.191,1.078,739,6469
Lavaudieu,43117,237,17.617,1.336,1.210,736,6465
Agnat,43001,187,19.857,1.418,1.284,736,6469
Lamothe,43110,870,12.488,1.125,1.019,732,6471
Javaugues,43105,195,6.988,0.841,0.761,736,6466
Frugières-le-Pin,43100,156,11.646,1.086,0.983,738,6462
Angerville-l'Orcher,76014,1436,9.885,1.001,0.906,507,6948
Rolleville,76534,1200,7.055,0.845,0.765,498,6944
Marcilly-en-Gault,41125,743,56.903,2.401,2.174,613,6704
Notre-Dame-du-Bec,76477,454,4.020,0.638,0.578,500,6947
Routot,27500,1569,6.676,0.822,0.744,536,6924
Bougé-Chambalud,38051,1391,15.831,1.266,1.146,849,6470
Montseveroux,38259,957,16.653,1.299,1.176,857,6481
Saint-Bonnet-de-Condat,15173,116,17.359,1.326,1.201,682,6462
Saint-Jean-sur-Mayenne,53229,1653,18.042,1.352,1.224,425,6791
La Haye-du-Theil,27320,298,7.051,0.845,0.765,546,6905
Saint-Martin-du-Bec,76615,605,4.056,0.641,0.580,497,6947
Saint-Cyr-le-Gravelais,53209,536,20.476,1.440,1.304,400,6776
Lubilhac,43125,87,24.230,1.567,1.419,719,6465
Cuverville,76206,354,4.538,0.678,0.614,502,6956
Émerchicourt,59192,879,5.152,0.723,0.655,716,7023
Baume-les-Messieurs,39041,169,13.205,1.157,1.048,899,6625
Sablons,38349,2300,10.276,1.020,0.924,842,6468
Montjean,53158,1025,20.157,1.429,1.294,407,6772
Montboudif,15129,189,20.334,1.435,1.299,678,6476
Champdor-Corcelles,1080,657,31.492,1.786,1.617,903,6551
Les Roches-de-Condrieu,38340,1977,1.007,0.319,0.289,837,6485
La Harengère,27313,584,3.653,0.608,0.550,554,6904
Bourgon,53040,648,21.358,1.471,1.332,398,6788
La Remuée,76522,1292,7.075,0.847,0.767,513,6941
Chanterelle,15040,94,19.459,1.404,1.271,683,6476
Saint-Salvi-de-Carcavès,81268,72,10.950,1.053,0.953,668,6302
Escatalens,82052,1087,18.002,1.351,1.223,558,6326
Buzet-sur-Tarn,31094,2716,30.383,1.755,1.589,589,6301
Laboissière-en-Thelle,60330,1330,9.694,0.991,0.897,640,6908
Boury-en-Vexin,60095,340,11.193,1.065,0.964,612,6906
Courcelles-lès-Gisors,60169,827,6.912,0.837,0.758,605,6907
Étretat,76254,1339,4.144,0.648,0.587,500,6960
Mannevillette,76409,842,4.210,0.653,0.591,497,6946
La Poterie-Cap-d'Antifer,76508,450,5.833,0.769,0.696,498,6956
Saint-Jouin-Bruneval,76595,1872,20.025,1.424,1.289,496,6949
Saint-Martin-du-Manoir,76616,1533,5.159,0.723,0.655,501,6942
Pierrefiques,76501,136,2.314,0.484,0.438,499,6956
Cauville-sur-Mer,76167,1524,11.313,1.071,0.970,495,6949
Heuqueville,76361,712,5.207,0.726,0.657,494,6952
Sainte-Marie-au-Bosc,76609,368,3.218,0.571,0.517,497,6955
Montivilliers,76447,15942,19.033,1.389,1.258,498,6939
Épouville,76238,2718,5.605,0.754,0.683,501,6943
Beaurepaire,76064,499,2.880,0.540,0.489,499,6953
Fontaine-la-Mallet,76270,2638,6.383,0.804,0.728,491,6941
Sainte-Adresse,76552,7410,2.309,0.484,0.438,488,6939
Le Havre,76351,170352,53.291,2.324,2.104,494,6941
Le Tilleul,76693,697,6.185,0.792,0.717,498,6956
Fontenay,76275,1100,5.615,0.754,0.683,494,6945
Octeville-sur-Mer,76481,5850,21.011,1.459,1.321,491,6947
Beaurepaire,38034,4906,18.438,1.367,1.238,861,6475
Courmemin,41068,518,26.097,1.626,1.472,597,6713
Fouqueville,27261,460,8.172,0.910,0.824,551,6905
Mandeville,27382,322,3.061,0.557,0.504,556,6905
La Saussaye,27616,1862,3.566,0.601,0.544,554,6908
Les Trois-Pierres,76714,738,7.516,0.873,0.790,514,6944
Hermeville,76357,371,3.823,0.622,0.563,501,6947
Saint-Laurent-de-Brèvedent,76596,1444,7.873,0.893,0.809,501,6940
Étainhus,76250,1122,8.342,0.919,0.832,507,6943
Bordeaux-Saint-Clair,76117,665,10.224,1.018,0.922,502,6961
Criquetot-l'Esneval,76196,2568,13.661,1.176,1.065,502,6949
Sainneville,76551,844,7.047,0.845,0.765,503,6941
Saint-Vigor-d'Ymonville,76657,1113,31.519,1.787,1.618,510,6931
Saint-Vincent-Cramesnil,76658,641,4.848,0.701,0.635,507,6937
Fongueusemare,76268,190,11.978,1.102,0.998,507,6958
Saint-Aubin-Routot,76563,1886,6.849,0.833,0.754,503,6939
Rogerville,76533,1331,10.280,1.021,0.924,501,6938
Graimbouville,76314,617,6.472,0.810,0.733,506,6946
Saint-Romain-de-Colbosc,76647,4093,11.756,1.091,0.988,510,6942
Sandouville,76660,797,15.348,1.247,1.129,507,6938
Manéglise,76404,1277,8.353,0.920,0.833,503,6941
Épretot,76239,726,6.888,0.835,0.756,506,6943
Gommerville,76303,728,7.481,0.871,0.789,507,6943
Saint-Gilles-de-la-Neuville,76586,657,7.170,0.852,0.771,511,6944
Bénouville,76079,174,2.949,0.547,0.495,503,6962
Oudalle,76489,452,10.720,1.042,0.943,504,6938
Gainneville,76296,2592,4.618,0.684,0.619,503,6939
Rougemontiers,27497,1047,11.997,1.103,0.999,533,6920
La Lande-Saint-Léger,27361,356,7.954,0.898,0.813,508,6914
Saint-Samson-de-la-Roque,27601,431,17.720,1.340,1.213,510,6930
Bouquelon,27101,489,11.769,1.092,0.989,517,6923
Fort-Moville,27258,488,9.283,0.970,0.878,512,6920
Le Torpt,27646,436,6.623,0.819,0.742,509,6916
Martainville,27393,483,8.931,0.951,0.861,511,6913
Marais-Vernier,27388,508,26.192,1.629,1.475,514,6932
La Cerlangue,76169,1295,29.453,1.727,1.564,513,6932
Tourville-la-Campagne,27654,1061,8.103,0.906,0.820,546,6903
Le Bosc du Theil,27302,1363,20.367,1.437,1.301,540,6904
Saint-Meslin-du-Bosc,27572,287,1.563,0.398,0.360,546,6905
Pact,38290,844,9.678,0.990,0.896,857,6473
Pommier-de-Beaurepaire,38311,704,19.226,1.396,1.264,864,6474
Moissieu-sur-Dolon,38240,692,14.472,1.211,1.096,857,6481
Pisieu,38307,535,18.838,1.382,1.251,862,6476
Revel-Tourdan,38335,1041,11.681,1.088,0.985,857,6477
