NOM_COM,INSEE_COM,POPULATION,surface,r,distance_interne,x,y
Quarré-les-Tombes,89318,643,46.642,2.174,1.968,779,6692
Montigny-sur-Canne,58178,151,30.668,1.763,1.596,749,6652
Marigny,71278,152,22.534,1.511,1.368,816,6620
Marigny-l'Église,58157,299,39.931,2.011,1.821,772,6699
Chastellux-sur-Cure,89089,135,10.542,1.034,0.936,767,6697
Mouron-sur-Yonne,58183,96,11.021,1.057,0.957,757,6675
Saint-Michel-d'Aurance,7276,278,8.054,0.903,0.818,818,6423
Corcelles-lès-Cîteaux,21191,814,6.801,0.830,0.751,856,6676
Bligny-sur-Ouche,21087,838,28.091,1.687,1.527,825,6667
Epiry,58110,233,12.216,1.113,1.008,757,6672
Saint-Léger-Vauban,89349,361,33.890,1.853,1.678,780,6701
Aunay-en-Bazois,58017,229,45.278,2.142,1.939,752,6675
Chalaux,58049,87,10.173,1.015,0.919,768,6695
Magny-Lormes,58153,74,8.442,0.925,0.838,757,6687
Neuffontaines,58190,106,14.648,1.218,1.103,758,6694
Saint-Agnan,58226,143,24.351,1.571,1.422,786,6690
Talon,58284,42,6.253,0.796,0.721,743,6691
Bazoches,58023,176,14.769,1.223,1.107,759,6699
Ougny,58202,25,8.164,0.909,0.823,752,6664
Villebéon,77500,480,16.429,1.290,1.168,692,6791
Cuncy-lès-Varzy,58093,130,15.312,1.246,1.128,737,6698
Saizy,58271,192,13.442,1.167,1.057,751,6693
Montmerle-sur-Saône,1263,3811,4.139,0.648,0.587,836,6554
Asnan,58015,127,4.835,0.700,0.634,742,6692
Jailly,58136,59,10.923,1.052,0.952,736,6667
Beuvron,58029,78,9.590,0.986,0.893,737,6693
Vitry-en-Perthois,51647,844,17.696,1.339,1.212,816,6851
Champvert,58055,819,46.499,2.171,1.966,741,6643
Ville-Langy,58311,264,27.303,1.663,1.506,740,6646
Taconnay,58283,79,7.961,0.898,0.813,736,6691
Châtillon-sur-Seine,21154,5378,33.299,1.837,1.663,814,6750
Talant,21617,11702,4.952,0.708,0.641,849,6696
Mimeure,21414,306,13.959,1.189,1.077,810,6672
Saint-Thibault,21576,162,12.424,1.122,1.016,810,6696
Neuilly,58191,121,14.088,1.195,1.082,742,6682
Bazolles,58024,282,28.643,1.704,1.543,746,6676
Saint-Germain-des-Bois,58242,115,12.552,1.128,1.021,736,6697
Gibercourt,2345,43,2.691,0.522,0.473,720,6962
Lys,58150,108,10.770,1.045,0.946,748,6692
Frasnay-Reugny,58119,89,13.948,1.189,1.077,742,6656
Vignol,58308,62,9.141,0.962,0.871,752,6698
Cercy-la-Tour,58046,1763,45.617,2.150,1.947,746,6643
Lurcy-le-Bourg,58147,294,22.790,1.520,1.376,732,6671
Anlezy,58006,255,21.586,1.479,1.339,734,6651
Saint-Maurice,58257,59,10.541,1.033,0.935,745,6668
Grenois,58130,99,14.508,1.212,1.097,740,6694
Saint-Maurice-de-Satonnay,71460,495,10.379,1.025,0.928,838,6591
Saint-Didier,58237,28,3.626,0.606,0.549,747,6696
Marcilly-la-Gueurce,71276,117,11.061,1.059,0.959,799,6592
Marcellois,21377,51,3.724,0.614,0.556,821,6695
Diennes-Aubigny,58097,95,37.388,1.946,1.762,740,6644
Saint-Firmin,58239,183,10.547,1.034,0.936,728,6659
Amazy,58005,230,13.897,1.187,1.075,746,6698
Metz-le-Comte,58165,163,14.414,1.208,1.094,746,6701
Chitry-les-Mines,58075,207,5.831,0.769,0.696,750,6689
Thianges,58291,170,12.862,1.142,1.034,740,6646
Beaulieu,58026,168,15.672,1.260,1.141,743,6684
Moraches,58181,139,15.025,1.234,1.117,743,6689
Anor,59012,3267,22.293,1.503,1.361,779,6992
Isenay,58135,96,20.515,1.442,1.306,753,6650
Rouy,58223,604,36.187,1.915,1.734,744,6659
Marcy,58156,158,14.605,1.216,1.101,728,6689
Bona,58035,312,23.598,1.546,1.400,730,6666
Saint-Vallerin,71485,266,6.763,0.828,0.750,827,6621
Montenoison,58174,122,16.807,1.305,1.182,733,6677
Sardy-lès-Épiry,58272,115,15.643,1.259,1.140,752,6675
Champallement,58052,51,8.131,0.908,0.822,735,6680
Quetteville,14528,375,10.329,1.023,0.926,504,6921
Vitry-Laché,58313,83,22.482,1.509,1.366,744,6675
Guipy,58132,243,18.461,1.368,1.239,746,6684
Verneuil,58306,297,26.993,1.654,1.498,745,6637
Trois-Vèvres,58297,239,7.575,0.876,0.793,730,6647
Saint-Léger-des-Vignes,58250,1901,9.098,0.960,0.869,734,6641
Héry,58133,73,7.804,0.889,0.805,747,6685
Cizely,58078,65,7.158,0.852,0.771,734,6653
Saint-Gratien-Savigny,58243,112,19.897,1.420,1.286,752,6647
Saint-Révérien,58266,162,18.617,1.373,1.243,737,6675
Morey,71321,202,13.484,1.169,1.058,819,6631
Brinay,58040,147,16.102,1.277,1.156,753,6660
Asnois,58016,151,5.762,0.764,0.692,746,6699
Branscourt,51081,299,3.718,0.614,0.556,760,6907
Corvol-d'Embernard,58084,88,9.896,1.001,0.906,728,6687
Challement,58050,56,9.597,0.986,0.893,743,6691
Sougy-sur-Loire,58280,644,32.659,1.819,1.647,727,6637
Cussy-le-Châtel,21222,104,7.289,0.859,0.778,819,6674
Tamnay-en-Bazois,58285,173,10.586,1.036,0.938,753,6660
Saint-Benin-des-Bois,58233,169,19.538,1.407,1.274,729,6671
Champlin,58054,39,7.982,0.899,0.814,735,6684
Saint-Saulge,58267,747,26.196,1.629,1.475,740,6663
Chaumot,58069,161,7.921,0.896,0.811,748,6686
Limanton,58142,242,46.923,2.180,1.974,756,6649
La Machine,58151,3385,18.136,1.356,1.228,737,6644
Moissy-Moulinot,58169,20,2.870,0.539,0.488,754,6693
Marigny-sur-Yonne,58159,204,11.318,1.071,0.970,750,6690
Sainte-Cécile,71397,291,7.297,0.860,0.779,828,6588
Germenay,58123,142,12.932,1.145,1.037,747,6690
Buffières,71065,276,12.228,1.113,1.008,820,6594
Saint-Franchy,58240,74,18.823,1.381,1.250,732,6675
Tannay,58286,588,15.527,1.254,1.135,741,6696
Parigny-la-Rose,58206,40,8.859,0.947,0.857,736,6693
Suin,71529,268,22.195,1.500,1.358,809,6596
Chazeuil,58070,61,4.660,0.687,0.622,732,6688
Authiou,58018,43,7.397,0.866,0.784,730,6684
Teigny,58288,103,7.424,0.867,0.785,752,6698
Mont-et-Marré,58175,165,18.223,1.359,1.230,745,6668
Biches,58030,294,24.628,1.580,1.431,752,6653
Flez-Cuzy,58116,133,5.964,0.777,0.704,748,6694
Fertrève,58113,103,24.843,1.587,1.437,743,6654
Saint-Benin-d'Azy,58232,1288,36.313,1.918,1.737,733,6651
Arthel,58013,95,7.799,0.889,0.805,730,6684
Brinon-sur-Beuvron,58041,186,8.089,0.905,0.819,738,6689
Tréduder,22350,196,4.810,0.698,0.632,217,6862
Moussy,58184,107,12.009,1.103,0.999,736,6679
Monceaux-le-Comte,58170,123,3.346,0.582,0.527,750,6694
Achun,58001,159,24.698,1.582,1.432,751,6675
Ruages,58224,94,10.469,1.030,0.933,752,6688
La Collancelle,58080,178,23.450,1.541,1.395,751,6675
Dieulivol,33150,335,10.452,1.029,0.932,470,6404
Saint-Pierre-du-Mont,58263,201,17.635,1.337,1.211,734,6698
Bussy-la-Pesle,58043,57,5.207,0.726,0.657,735,6684
Chevannes-Changy,58071,129,18.947,1.386,1.255,732,6687
Saxi-Bourdon,58275,298,18.692,1.376,1.246,738,6665
Billy-Chevannes,58031,324,23.876,1.555,1.408,738,6656
Nuars,58197,155,15.834,1.267,1.147,754,6702
Germigny-sur-Loire,58124,770,18.898,1.384,1.253,706,6666
Le Veurdre,3309,454,21.504,1.476,1.336,703,6630
Mornay-sur-Allier,18155,428,22.160,1.498,1.356,704,6638
Cours-les-Barres,18075,1044,21.592,1.479,1.339,701,6656
Pouzy-Mésangy,3210,403,35.425,1.895,1.716,702,6620
Cuffy,18082,1097,35.695,1.902,1.722,706,6651
Beaubery,71025,372,23.235,1.534,1.389,805,6591
Apremont-sur-Allier,18007,71,30.833,1.767,1.600,705,6648
Saint-Galmier,42222,5707,19.634,1.410,1.277,806,6502
Jouet-sur-l'Aubois,18118,1364,17.363,1.326,1.201,702,6663
Bourbon-l'Archambault,3036,2550,55.350,2.368,2.144,704,6605
Franchesse,3117,467,40.630,2.029,1.837,699,6619
Beffes,18025,653,11.825,1.095,0.991,702,6668
Neuvy-le-Barrois,18164,142,42.323,2.071,1.875,705,6644
Thiel-sur-Acolin,3283,1117,57.580,2.415,2.187,743,6598
Gennetines,3121,671,39.338,1.996,1.807,734,6618
Paray-le-Frésil,3203,387,37.186,1.941,1.757,743,6616
Toury-Lurcy,58293,421,25.924,1.621,1.468,733,6624
Beaulon,3019,1664,63.777,2.542,2.302,757,6609
Montbeugny,3180,691,32.766,1.822,1.650,740,6604
Colombier-en-Brionnais,71141,309,13.420,1.166,1.056,801,6584
Dompierre-sur-Besbre,3102,3052,45.898,2.156,1.952,747,6605
Bois-Sainte-Marie,71041,200,2.686,0.522,0.473,804,6584
Curtil-sous-Buffières,71163,88,5.281,0.731,0.662,816,6589
Saint-Albain,71383,502,5.663,0.757,0.685,845,6594
Vaudebarrier,71562,228,8.090,0.905,0.819,803,6590
Courtes,1128,310,8.966,0.953,0.863,863,6596
Saint-Vincent-des-Prés,71488,110,6.383,0.804,0.728,818,6597
Gorrevod,1175,861,6.886,0.835,0.756,852,6592
Servignat,1406,175,7.953,0.898,0.813,860,6594
Villers-sous-Ailly,80804,185,6.379,0.804,0.728,631,6996
Boz,1057,515,7.697,0.883,0.799,845,6593
Igé,71236,867,14.736,1.222,1.106,830,6592
Clessé,71135,863,10.109,1.012,0.916,842,6593
Lescheroux,1212,727,20.243,1.432,1.297,868,6593
La Vineuse sur Fregande,71582,649,36.150,1.914,1.733,821,6599
Lugny,71267,886,13.891,1.186,1.074,841,6602
Boissey,1050,338,9.457,0.979,0.886,855,6586
Chavannes-sur-Reyssouze,1094,750,16.508,1.293,1.171,852,6593
Blanot,71039,169,11.630,1.086,0.983,834,6597
Vernols,15253,66,24.525,1.576,1.427,688,6459
Saint-Julien-sur-Reyssouze,1367,698,7.507,0.872,0.790,863,6591
Donzy-le-Pertuis,71181,166,6.116,0.787,0.713,833,6597
Charbonnières,71099,332,4.195,0.652,0.590,841,6588
