"Année,""Commune"",""Secteur économique"",""Etablissements"",""Emplois"",""Emplois femmes"",""Emplois hommes"",""Equivalents plein temps"",""Equivalents plein temps femmes"",""Equivalents plein temps hommes"""
"2021,""24 Buch am Irchel"",""Secteur primaire"",22,66,X,X,46,X,X"
"2021,""24 Buch am Irchel"",""Secteur secondaire"",9,40,X,X,36,X,X"
"2021,""24 Buch am Irchel"",""Secteur tertiaire"",45,91,58,33,54,28,26"
"2021,""25 Dachsen"",""Secteur économique - total"",107,421,161,260,300,83,218"
"2021,""25 Dachsen"",""Secteur primaire"",5,26,X,X,6,X,X"
"2021,""25 Dachsen"",""Secteur secondaire"",21,170,29,141,155,21,134"
"2021,""25 Dachsen"",""Secteur tertiaire"",81,225,X,X,140,X,X"
"2021,""26 Dorf"",""Secteur économique - total"",54,164,80,84,103,42,60"
"2021,""26 Dorf"",""Secteur primaire"",10,28,X,X,16,X,X"
"2021,""26 Dorf"",""Secteur secondaire"",6,19,X,X,17,X,X"
"2021,""26 Dorf"",""Secteur tertiaire"",38,117,68,49,70,36,34"
"2021,""27 Feuerthalen"",""Secteur économique - total"",192,1270,638,632,919,379,539"
"2021,""27 Feuerthalen"",""Secteur primaire"",0,0,0,0,0,0,0"
"2021,""27 Feuerthalen"",""Secteur secondaire"",26,255,49,206,220,29,191"
"2021,""27 Feuerthalen"",""Secteur tertiaire"",166,1015,589,426,699,350,349"
"2021,""28 Flaach"",""Secteur économique - total"",134,754,356,398,498,187,311"
"2021,""28 Flaach"",""Secteur primaire"",24,144,60,84,64,20,45"
"2021,""28 Flaach"",""Secteur secondaire"",21,135,54,81,105,29,76"
"2021,""28 Flaach"",""Secteur tertiaire"",89,475,242,233,328,138,190"
"2021,""29 Flurlingen"",""Secteur économique - total"",115,448,234,214,328,145,184"
"2021,""29 Flurlingen"",""Secteur primaire"",X,X,X,X,X,X,X"
"2021,""29 Flurlingen"",""Secteur secondaire"",X,X,X,X,X,X,X"
"2021,""29 Flurlingen"",""Secteur tertiaire"",91,295,173,122,187,91,96"
"2021,""30 Andelfingen"",""Secteur économique - total"",211,1724,785,939,1326,500,826"
"2021,""30 Andelfingen"",""Secteur primaire"",12,69,29,40,48,18,30"
"2021,""30 Andelfingen"",""Secteur secondaire"",36,706,185,521,631,139,493"
"2021,""30 Andelfingen"",""Secteur tertiaire"",163,949,571,378,647,343,303"
"2021,""31 Henggart"",""Secteur économique - total"",114,727,341,386,531,189,342"
"2021,""31 Henggart"",""Secteur primaire"",11,33,19,14,18,9,9"
"2021,""31 Henggart"",""Secteur secondaire"",19,361,76,285,322,50,271"
"2021,""31 Henggart"",""Secteur tertiaire"",84,333,246,87,191,129,61"
"2021,""32 Humlikon"",""Secteur économique - total"",43,162,94,68,100,47,53"
"2021,""32 Humlikon"",""Secteur primaire"",8,26,X,X,17,X,X"
"2021,""32 Humlikon"",""Secteur secondaire"",9,25,X,X,23,X,X"
"2021,""32 Humlikon"",""Secteur tertiaire"",26,111,81,30,60,39,21"
"2021,""33 Kleinandelfingen"",""Secteur économique - total"",182,1118,413,705,901,257,645"
"2021,""33 Kleinandelfingen"",""Secteur primaire"",25,52,16,36,38,8,30"
"2021,""33 Kleinandelfingen"",""Secteur secondaire"",36,512,110,402,458,74,384"
"2021,""33 Kleinandelfingen"",""Secteur tertiaire"",121,554,287,267,405,175,231"
"2021,""34 Laufen-Uhwiesen"",""Secteur économique - total"",114,435,250,185,282,140,142"
"2021,""34 Laufen-Uhwiesen"",""Secteur primaire"",20,79,38,41,52,22,30"
"2021,""34 Laufen-Uhwiesen"",""Secteur secondaire"",15,63,24,39,51,15,36"
"2021,""34 Laufen-Uhwiesen"",""Secteur tertiaire"",79,293,188,105,179,103,76"
"2021,""35 Marthalen"",""Secteur économique - total"",213,1237,603,634,868,341,526"
"2021,""35 Marthalen"",""Secteur primaire"",31,107,43,64,59,21,38"
"2021,""35 Marthalen"",""Secteur secondaire"",47,286,71,215,237,42,195"
"2021,""35 Marthalen"",""Secteur tertiaire"",135,844,489,355,571,279,293"
