"Année,""Commune"",""Secteur économique"",""Etablissements"",""Emplois"",""Emplois femmes"",""Emplois hommes"",""Equivalents plein temps"",""Equivalents plein temps femmes"",""Equivalents plein temps hommes"""
"2021,""1349 Wangen (SZ)"",""Secteur tertiaire"",319,1258,644,614,899,372,527"
"2021,""1361 Alpthal"",""Secteur économique - total"",68,189,76,113,121,38,83"
"2021,""1361 Alpthal"",""Secteur primaire"",20,44,X,X,25,X,X"
"2021,""1361 Alpthal"",""Secteur secondaire"",12,29,X,X,23,X,X"
"2021,""1361 Alpthal"",""Secteur tertiaire"",36,116,56,60,73,30,43"
"2021,""1362 Arth"",""Secteur économique - total"",816,4187,1872,2315,3084,1099,1985"
"2021,""1362 Arth"",""Secteur primaire"",107,310,119,191,186,54,132"
"2021,""1362 Arth"",""Secteur secondaire"",148,1242,273,969,1097,178,919"
"2021,""1362 Arth"",""Secteur tertiaire"",561,2635,1480,1155,1801,868,934"
"2021,""1363 Illgau"",""Secteur économique - total"",55,189,91,98,122,42,80"
"2021,""1363 Illgau"",""Secteur primaire"",21,60,X,X,35,X,X"
"2021,""1363 Illgau"",""Secteur secondaire"",8,39,X,X,35,X,X"
"2021,""1363 Illgau"",""Secteur tertiaire"",26,90,61,29,52,28,23"
"2021,""1364 Ingenbohl"",""Secteur économique - total"",647,3565,1883,1682,2588,1157,1431"
"2021,""1364 Ingenbohl"",""Secteur primaire"",29,73,28,45,42,12,30"
"2021,""1364 Ingenbohl"",""Secteur secondaire"",90,707,129,578,627,87,540"
"2021,""1364 Ingenbohl"",""Secteur tertiaire"",528,2785,1726,1059,1919,1058,861"
"2021,""1365 Lauerz"",""Secteur économique - total"",84,256,130,126,172,74,99"
"2021,""1365 Lauerz"",""Secteur primaire"",26,58,20,38,35,9,26"
"2021,""1365 Lauerz"",""Secteur secondaire"",11,63,17,46,52,10,42"
"2021,""1365 Lauerz"",""Secteur tertiaire"",47,135,93,42,85,54,30"
"2021,""1366 Morschach"",""Secteur économique - total"",137,915,503,412,656,337,319"
"2021,""1366 Morschach"",""Secteur primaire"",36,81,25,56,52,11,40"
"2021,""1366 Morschach"",""Secteur secondaire"",20,38,9,29,24,5,19"
"2021,""1366 Morschach"",""Secteur tertiaire"",81,796,469,327,580,320,260"
"2021,""1367 Muotathal"",""Secteur économique - total"",292,1540,635,905,1089,345,744"
"2021,""1367 Muotathal"",""Secteur primaire"",99,263,99,164,150,41,109"
"2021,""1367 Muotathal"",""Secteur secondaire"",59,655,127,528,564,81,483"
"2021,""1367 Muotathal"",""Secteur tertiaire"",134,622,409,213,375,223,152"
"2021,""1368 Oberiberg"",""Secteur économique - total"",119,407,182,225,262,98,165"
"2021,""1368 Oberiberg"",""Secteur primaire"",29,82,X,X,45,X,X"
"2021,""1368 Oberiberg"",""Secteur secondaire"",14,46,X,X,35,X,X"
"2021,""1368 Oberiberg"",""Secteur tertiaire"",76,279,142,137,182,79,103"
"2021,""1369 Riemenstalden"",""Secteur économique - total"",13,45,22,23,24,9,15"
"2021,""1369 Riemenstalden"",""Secteur primaire"",8,22,X,X,13,X,X"
"2021,""1369 Riemenstalden"",""Secteur secondaire"",0,0,0,0,0,0,0"
"2021,""1369 Riemenstalden"",""Secteur tertiaire"",5,23,X,X,12,X,X"
"2021,""1370 Rothenthurm"",""Secteur économique - total"",229,856,338,518,630,199,431"
"2021,""1370 Rothenthurm"",""Secteur primaire"",47,119,39,80,78,20,58"
"2021,""1370 Rothenthurm"",""Secteur secondaire"",46,302,87,215,256,55,200"
"2021,""1370 Rothenthurm"",""Secteur tertiaire"",136,435,212,223,297,124,173"
"2021,""1371 Sattel"",""Secteur économique - total"",189,637,287,350,402,141,261"
"2021,""1371 Sattel"",""Secteur primaire"",52,166,66,100,101,33,69"
"2021,""1371 Sattel"",""Secteur secondaire"",28,83,12,71,70,6,64"
"2021,""1371 Sattel"",""Secteur tertiaire"",109,388,209,179,230,102,128"
"2021,""1372 Schwyz"",""Secteur économique - total"",1424,12964,6320,6644,9859,4036,5822"
"2021,""1372 Schwyz"",""Secteur primaire"",148,431,158,273,260,71,188"
"2021,""1372 Schwyz"",""Secteur secondaire"",189,3208,973,2235,2861,737,2124"
"2021,""1372 Schwyz"",""Secteur tertiaire"",1087,9325,5189,4136,6738,3228,3510"
"2021,""1373 Steinen"",""Secteur économique - total"",274,1384,618,766,971,358,613"
"2021,""1373 Steinen"",""Secteur primaire"",56,162,62,100,90,26,64"
"2021,""1373 Steinen"",""Secteur secondaire"",54,441,130,311,378,88,291"
"2021,""1373 Steinen"",""Secteur tertiaire"",164,781,426,355,503,245,258"
"2021,""1374 Steinerberg"",""Secteur économique - total"",86,336,182,154,202,92,110"
"2021,""1374 Steinerberg"",""Secteur primaire"",35,99,X,X,58,X,X"
"2021,""1374 Steinerberg"",""Secteur secondaire"",15,44,X,X,36,X,X"
"2021,""1374 Steinerberg"",""Secteur tertiaire"",36,193,139,54,108,74,35"
"2021,""1375 Unteriberg"",""Secteur économique - total"",245,885,390,495,618,209,410"
"2021,""1375 Unteriberg"",""Secteur primaire"",52,151,66,85,88,30,58"
"2021,""1375 Unteriberg"",""Secteur secondaire"",58,252,42,210,224,26,198"
"2021,""1375 Unteriberg"",""Secteur tertiaire"",135,482,282,200,307,152,154"
"2021,""1401 Alpnach"",""Secteur économique - total"",502,3165,1082,2083,2502,639,1863"
"2021,""1401 Alpnach"",""Secteur primaire"",71,187,54,133,124,26,98"
"2021,""1401 Alpnach"",""Secteur secondaire"",83,1094,193,901,989,135,853"
"2021,""1401 Alpnach"",""Secteur tertiaire"",348,1884,835,1049,1390,478,912"
"2021,""1402 Engelberg"",""Secteur économique - total"",508,2600,1248,1352,1895,789,1107"
"2021,""1402 Engelberg"",""Secteur primaire"",57,154,56,98,93,27,66"
"2021,""1402 Engelberg"",""Secteur secondaire"",53,254,62,192,215,39,176"
"2021,""1402 Engelberg"",""Secteur tertiaire"",398,2192,1130,1062,1587,723,864"
"2021,""1403 Giswil"",""Secteur économique - total"",337,1358,572,786,975,319,655"
"2021,""1403 Giswil"",""Secteur primaire"",98,292,94,198,187,46,140"
"2021,""1403 Giswil"",""Secteur secondaire"",63,386,87,299,337,60,277"
"2021,""1403 Giswil"",""Secteur tertiaire"",176,680,391,289,451,213,238"
"2021,""1404 Kerns"",""Secteur économique - total"",494,2462,1102,1360,1781,633,1148"
"2021,""1404 Kerns"",""Secteur primaire"",140,361,138,223,220,62,158"
"2021,""1404 Kerns"",""Secteur secondaire"",86,750,191,559,642,121,521"
"2021,""1404 Kerns"",""Secteur tertiaire"",268,1351,773,578,918,450,468"
"2021,""1405 Lungern"",""Secteur économique - total"",179,1169,381,788,922,213,709"
"2021,""1405 Lungern"",""Secteur primaire"",52,136,44,92,83,21,62"
"2021,""1405 Lungern"",""Secteur secondaire"",35,644,95,549,588,58,529"
"2021,""1405 Lungern"",""Secteur tertiaire"",92,389,242,147,252,134,117"
"2021,""1406 Sachseln"",""Secteur économique - total"",399,3338,1637,1701,2681,1140,1541"
"2021,""1406 Sachseln"",""Secteur primaire"",69,196,64,132,132,32,101"
"2021,""1406 Sachseln"",""Secteur secondaire"",59,1801,818,983,1620,667,953"
"2021,""1406 Sachseln"",""Secteur tertiaire"",271,1341,755,586,929,441,488"
"2021,""1407 Sarnen"",""Secteur économique - total"",1304,8705,4262,4443,6601,2743,3858"
"2021,""1407 Sarnen"",""Secteur primaire"",143,361,129,232,219,59,160"
"2021,""1407 Sarnen"",""Secteur secondaire"",154,2062,574,1488,1820,413,1407"
"2021,""1407 Sarnen"",""Secteur tertiaire"",1007,6282,3559,2723,4562,2270,2291"
"2021,""1501 Beckenried"",""Secteur économique - total"",286,1183,597,586,794,322,472"
"2021,""1501 Beckenried"",""Secteur primaire"",45,132,45,87,75,20,55"
"2021,""1501 Beckenried"",""Secteur secondaire"",52,251,57,194,211,33,178"
"2021,""1501 Beckenried"",""Secteur tertiaire"",189,800,495,305,508,269,239"
"2021,""1502 Buochs"",""Secteur économique - total"",400,1924,873,1051,1401,509,892"
"2021,""1502 Buochs"",""Secteur primaire"",40,114,39,75,73,19,54"
"2021,""1502 Buochs"",""Secteur secondaire"",76,485,107,378,413,63,350"
"2021,""1502 Buochs"",""Secteur tertiaire"",284,1325,727,598,916,427,488"
"2021,""1503 Dallenwil"",""Secteur économique - total"",166,867,339,528,617,172,445"
"2021,""1503 Dallenwil"",""Secteur primaire"",40,123,42,81,79,20,59"
"2021,""1503 Dallenwil"",""Secteur secondaire"",24,282,42,240,250,25,225"
"2021,""1503 Dallenwil"",""Secteur tertiaire"",102,462,255,207,288,127,160"
"2021,""1504 Emmetten"",""Secteur économique - total"",146,401,172,229,262,93,168"
"2021,""1504 Emmetten"",""Secteur primaire"",22,45,12,33,27,6,20"
"2021,""1504 Emmetten"",""Secteur secondaire"",26,77,14,63,64,8,56"
"2021,""1504 Emmetten"",""Secteur tertiaire"",98,279,146,133,171,79,92"
"2021,""1505 Ennetbürgen"",""Secteur économique - total"",325,2117,993,1124,1599,636,963"
"2021,""1505 Ennetbürgen"",""Secteur primaire"",33,90,36,54,51,16,34"
"2021,""1505 Ennetbürgen"",""Secteur secondaire"",41,383,82,301,339,54,285"
"2021,""1505 Ennetbürgen"",""Secteur tertiaire"",251,1644,875,769,1209,565,643"
"2021,""1506 Ennetmoos"",""Secteur économique - total"",161,756,223,533,597,131,466"
"2021,""1506 Ennetmoos"",""Secteur primaire"",54,147,50,97,98,27,71"
"2021,""1506 Ennetmoos"",""Secteur secondaire"",31,298,37,261,262,23,239"
"2021,""1506 Ennetmoos"",""Secteur tertiaire"",76,311,136,175,237,82,155"
"2021,""1507 Hergiswil (NW)"",""Secteur économique - total"",771,3129,1286,1843,2347,803,1544"
"2021,""1507 Hergiswil (NW)"",""Secteur primaire"",20,50,17,33,29,8,22"
"2021,""1507 Hergiswil (NW)"",""Secteur secondaire"",77,431,82,349,385,56,330"
"2021,""1507 Hergiswil (NW)"",""Secteur tertiaire"",674,2648,1187,1461,1932,740,1192"
"2021,""1508 Oberdorf (NW)"",""Secteur économique - total"",209,1327,444,883,1047,265,781"
"2021,""1508 Oberdorf (NW)"",""Secteur primaire"",57,170,72,98,109,36,74"
"2021,""1508 Oberdorf (NW)"",""Secteur secondaire"",37,618,97,521,553,65,489"
"2021,""1508 Oberdorf (NW)"",""Secteur tertiaire"",115,539,275,264,384,165,219"
"2021,""1509 Stans"",""Secteur économique - total"",1045,10042,4669,5373,7811,2967,4844"
"2021,""1509 Stans"",""Secteur primaire"",27,83,22,61,63,12,51"
"2021,""1509 Stans"",""Secteur secondaire"",129,3342,589,2753,3111,443,2668"
"2021,""1509 Stans"",""Secteur tertiaire"",889,6617,4058,2559,4637,2512,2125"
"2021,""1510 Stansstad"",""Secteur économique - total"",430,1760,740,1020,1324,444,880"
"2021,""1510 Stansstad"",""Secteur primaire"",22,57,17,40,40,8,32"
"2021,""1510 Stansstad"",""Secteur secondaire"",43,387,95,292,337,65,272"
"2021,""1510 Stansstad"",""Secteur tertiaire"",365,1316,628,688,946,371,575"
"2021,""1511 Wolfenschiessen"",""Secteur économique - total"",207,810,321,489,582,174,408"
"2021,""1511 Wolfenschiessen"",""Secteur primaire"",74,193,75,118,107,31,76"
"2021,""1511 Wolfenschiessen"",""Secteur secondaire"",31,181,36,145,159,23,136"
"2021,""1511 Wolfenschiessen"",""Secteur tertiaire"",102,436,210,226,316,120,196"
"2021,""1630 Glarus Nord"",""Secteur économique - total"",1413,8820,3438,5382,6972,2138,4834"
"2021,""1630 Glarus Nord"",""Secteur primaire"",147,399,144,255,261,84,177"
"2021,""1630 Glarus Nord"",""Secteur secondaire"",299,3282,620,2662,2994,426,2568"
"2021,""1630 Glarus Nord"",""Secteur tertiaire"",967,5139,2674,2465,3717,1628,2089"
"2021,""1631 Glarus Süd"",""Secteur économique - total"",803,4740,2057,2683,3549,1253,2296"
"2021,""1631 Glarus Süd"",""Secteur primaire"",158,446,179,267,292,95,197"
"2021,""1631 Glarus Süd"",""Secteur secondaire"",165,2001,555,1446,1722,382,1339"
"2021,""1631 Glarus Süd"",""Secteur tertiaire"",480,2293,1323,970,1535,775,760"
"2021,""1632 Glarus"",""Secteur économique - total"",1164,9012,4715,4297,6822,3076,3746"
"2021,""1632 Glarus"",""Secteur primaire"",49,143,51,92,95,28,66"
"2021,""1632 Glarus"",""Secteur secondaire"",181,2603,824,1779,2288,604,1684"
"2021,""1632 Glarus"",""Secteur tertiaire"",934,6266,3840,2426,4439,2443,1996"
"2021,""1701 Baar"",""Secteur économique - total"",3947,26448,11148,15300,21131,7640,13491"
"2021,""1701 Baar"",""Secteur primaire"",71,216,77,139,143,38,105"
"2021,""1701 Baar"",""Secteur secondaire"",457,4293,1033,3260,3844,766,3078"
"2021,""1701 Baar"",""Secteur tertiaire"",3419,21939,10038,11901,17143,6836,10307"
"2021,""1702 Cham"",""Secteur économique - total"",2067,12292,5216,7076,9762,3481,6281"
"2021,""1702 Cham"",""Secteur primaire"",63,182,55,127,119,28,91"
"2021,""1702 Cham"",""Secteur secondaire"",217,1876,431,1445,1676,309,1366"
"2021,""1702 Cham"",""Secteur tertiaire"",1787,10234,4730,5504,7967,3144,4823"
"2021,""1703 Hünenberg"",""Secteur économique - total"",1201,6862,2723,4139,5236,1711,3525"
"2021,""1703 Hünenberg"",""Secteur primaire"",56,262,98,164,184,53,131"
"2021,""1703 Hünenberg"",""Secteur secondaire"",163,1256,254,1002,1120,185,936"
"2021,""1703 Hünenberg"",""Secteur tertiaire"",982,5344,2371,2973,3931,1473,2458"
"2021,""1704 Menzingen"",""Secteur économique - total"",401,1768,888,880,1196,511,684"
"2021,""1704 Menzingen"",""Secteur primaire"",96,246,87,159,154,41,113"
"2021,""1704 Menzingen"",""Secteur secondaire"",51,193,44,149,160,26,134"
"2021,""1704 Menzingen"",""Secteur tertiaire"",254,1329,757,572,882,445,437"
"2021,""1705 Neuheim"",""Secteur économique - total"",258,984,325,659,748,192,556"
"2021,""1705 Neuheim"",""Secteur primaire"",26,63,22,41,42,10,32"
"2021,""1705 Neuheim"",""Secteur secondaire"",43,382,72,310,344,52,292"
"2021,""1705 Neuheim"",""Secteur tertiaire"",189,539,231,308,361,129,232"
"2021,""1706 Oberägeri"",""Secteur économique - total"",543,1737,866,871,1230,508,722"
"2021,""1706 Oberägeri"",""Secteur primaire"",76,200,64,136,130,32,98"
"2021,""1706 Oberägeri"",""Secteur secondaire"",56,302,63,239,259,36,222"
"2021,""1706 Oberägeri"",""Secteur tertiaire"",411,1235,739,496,841,440,401"
"2021,""1707 Risch"",""Secteur économique - total"",1253,13831,5627,8204,11514,4058,7456"
"2021,""1707 Risch"",""Secteur primaire"",42,140,51,89,91,26,64"
"2021,""1707 Risch"",""Secteur secondaire"",131,4369,1387,2982,4131,1231,2900"
"2021,""1707 Risch"",""Secteur tertiaire"",1080,9322,4189,5133,7292,2801,4492"
"2021,""1708 Steinhausen"",""Secteur économique - total"",1198,9103,4245,4858,6990,2703,4287"
"2021,""1708 Steinhausen"",""Secteur primaire"",22,53,15,38,31,6,25"
"2021,""1708 Steinhausen"",""Secteur secondaire"",147,1569,420,1149,1423,321,1103"
"2021,""1708 Steinhausen"",""Secteur tertiaire"",1029,7481,3810,3671,5536,2376,3160"
"2021,""1709 Unterägeri"",""Secteur économique - total"",698,3349,1863,1486,2420,1172,1248"
"2021,""1709 Unterägeri"",""Secteur primaire"",48,138,54,84,88,29,59"
"2021,""1709 Unterägeri"",""Secteur secondaire"",98,717,213,504,615,148,468"
"2021,""1709 Unterägeri"",""Secteur tertiaire"",552,2494,1596,898,1716,995,722"
"2021,""1710 Walchwil"",""Secteur économique - total"",324,1104,479,625,803,281,522"
"2021,""1710 Walchwil"",""Secteur primaire"",40,121,45,76,68,20,48"
"2021,""1710 Walchwil"",""Secteur secondaire"",28,244,41,203,217,25,193"
"2021,""1710 Walchwil"",""Secteur tertiaire"",256,739,393,346,518,236,282"
"2021,""1711 Zug"",""Secteur économique - total"",7552,44797,18671,26126,35633,12986,22647"
"2021,""1711 Zug"",""Secteur primaire"",37,136,42,94,95,25,70"
"2021,""1711 Zug"",""Secteur secondaire"",407,5957,1495,4462,5485,1203,4282"
"2021,""1711 Zug"",""Secteur tertiaire"",7108,38704,17134,21570,30053,11758,18295"
"2021,""2008 Châtillon (FR)"",""Secteur économique - total"",19,48,26,22,28,15,13"
"2021,""2008 Châtillon (FR)"",""Secteur primaire"",X,5,X,X,4,X,X"
"2021,""2008 Châtillon (FR)"",""Secteur secondaire"",X,16,X,X,11,X,X"
"2021,""2008 Châtillon (FR)"",""Secteur tertiaire"",13,27,X,X,13,X,X"
"2021,""2011 Cugy (FR)"",""Secteur économique - total"",104,417,186,231,300,115,185"
"2021,""2011 Cugy (FR)"",""Secteur primaire"",22,91,23,68,51,10,41"
"2021,""2011 Cugy (FR)"",""Secteur secondaire"",19,129,41,88,114,31,83"
"2021,""2011 Cugy (FR)"",""Secteur tertiaire"",63,197,122,75,135,74,61"
"2021,""2016 Fétigny"",""Secteur économique - total"",47,298,119,179,234,79,155"
"2021,""2016 Fétigny"",""Secteur primaire"",5,19,X,X,11,X,X"
"2021,""2016 Fétigny"",""Secteur secondaire"",6,14,X,X,13,X,X"
"2021,""2016 Fétigny"",""Secteur tertiaire"",36,265,113,152,210,77,133"
"2021,""2022 Gletterens"",""Secteur économique - total"",72,285,141,144,211,88,123"
"2021,""2022 Gletterens"",""Secteur primaire"",6,15,X,X,10,X,X"
"2021,""2022 Gletterens"",""Secteur secondaire"",15,79,X,X,69,X,X"
"2021,""2022 Gletterens"",""Secteur tertiaire"",51,191,125,66,132,80,52"
"2021,""2025 Lully (FR)"",""Secteur économique - total"",75,377,203,174,248,116,131"
"2021,""2025 Lully (FR)"",""Secteur primaire"",13,42,X,X,25,X,X"
"2021,""2025 Lully (FR)"",""Secteur secondaire"",7,39,X,X,35,X,X"
"2021,""2025 Lully (FR)"",""Secteur tertiaire"",55,296,189,107,188,109,79"
"2021,""2027 Ménières"",""Secteur économique - total"",29,140,45,95,93,27,67"
"2021,""2027 Ménières"",""Secteur primaire"",8,54,X,X,25,X,X"
"2021,""2027 Ménières"",""Secteur secondaire"",5,18,X,X,17,X,X"
"2021,""2027 Ménières"",""Secteur tertiaire"",16,68,32,36,52,20,32"
"2021,""2029 Montagny (FR)"",""Secteur économique - total"",167,586,295,291,428,184,244"
"2021,""2029 Montagny (FR)"",""Secteur primaire"",35,96,29,67,66,16,50"
"2021,""2029 Montagny (FR)"",""Secteur secondaire"",33,132,28,104,113,17,97"
"2021,""2029 Montagny (FR)"",""Secteur tertiaire"",99,358,238,120,249,151,97"
"2021,""2035 Nuvilly"",""Secteur économique - total"",55,183,103,80,111,44,67"
"2021,""2035 Nuvilly"",""Secteur primaire"",11,32,X,X,25,X,X"
"2021,""2035 Nuvilly"",""Secteur secondaire"",9,31,X,X,28,X,X"
"2021,""2035 Nuvilly"",""Secteur tertiaire"",35,120,92,28,58,38,19"
"2021,""2038 Prévondavaux"",""Secteur économique - total"",8,19,X,X,13,X,X"
"2021,""2038 Prévondavaux"",""Secteur primaire"",X,X,X,X,X,X,X"
"2021,""2038 Prévondavaux"",""Secteur secondaire"",X,X,X,X,X,X,X"
"2021,""2038 Prévondavaux"",""Secteur tertiaire"",X,8,X,X,6,X,X"
"2021,""2041 Saint-Aubin (FR)"",""Secteur économique - total"",132,477,222,255,323,114,209"
"2021,""2041 Saint-Aubin (FR)"",""Secteur primaire"",22,65,17,48,43,9,34"
"2021,""2041 Saint-Aubin (FR)"",""Secteur secondaire"",28,110,23,87,95,13,82"
"2021,""2041 Saint-Aubin (FR)"",""Secteur tertiaire"",82,302,182,120,184,92,93"
"2021,""2043 Sévaz"",""Secteur économique - total"",39,487,151,336,416,110,306"
"2021,""2043 Sévaz"",""Secteur primaire"",6,12,X,X,9,X,X"
"2021,""2043 Sévaz"",""Secteur secondaire"",8,73,X,X,64,X,X"
"2021,""2043 Sévaz"",""Secteur tertiaire"",25,402,138,264,344,102,242"
"2021,""2044 Surpierre"",""Secteur économique - total"",70,217,69,148,152,35,117"
"2021,""2044 Surpierre"",""Secteur primaire"",26,82,26,56,52,10,41"
"2021,""2044 Surpierre"",""Secteur secondaire"",15,70,10,60,63,8,55"
"2021,""2044 Surpierre"",""Secteur tertiaire"",29,65,33,32,37,17,21"
"2021,""2045 Vallon"",""Secteur économique - total"",26,61,29,32,40,15,25"
"2021,""2045 Vallon"",""Secteur primaire"",X,21,8,13,14,4,10"
"2021,""2045 Vallon"",""Secteur secondaire"",X,5,0,5,5,0,5"
"2021,""2045 Vallon"",""Secteur tertiaire"",15,35,21,14,21,11,10"
"2021,""2050 Les Montets"",""Secteur économique - total"",95,336,107,229,262,60,202"
"2021,""2050 Les Montets"",""Secteur primaire"",22,57,13,44,41,8,33"
"2021,""2050 Les Montets"",""Secteur secondaire"",23,123,32,91,106,19,87"
"2021,""2050 Les Montets"",""Secteur tertiaire"",50,156,62,94,115,34,81"
"2021,""2051 Delley-Portalban"",""Secteur économique - total"",69,207,87,120,135,44,91"
"2021,""2051 Delley-Portalban"",""Secteur primaire"",11,71,X,X,35,X,X"
"2021,""2051 Delley-Portalban"",""Secteur secondaire"",9,20,X,X,17,X,X"
"2021,""2051 Delley-Portalban"",""Secteur tertiaire"",49,116,58,58,84,35,49"
"2021,""2053 Belmont-Broye"",""Secteur économique - total"",367,2629,935,1694,2185,644,1541"
"2021,""2053 Belmont-Broye"",""Secteur primaire"",55,146,32,114,104,14,90"
"2021,""2053 Belmont-Broye"",""Secteur secondaire"",89,1124,231,893,1031,188,843"
"2021,""2053 Belmont-Broye"",""Secteur tertiaire"",223,1359,672,687,1050,441,608"
"2021,""2054 Estavayer"",""Secteur économique - total"",701,4440,2118,2322,3336,1318,2018"
"2021,""2054 Estavayer"",""Secteur primaire"",74,236,61,175,154,31,123"
"2021,""2054 Estavayer"",""Secteur secondaire"",126,1546,315,1231,1424,238,1187"
"2021,""2054 Estavayer"",""Secteur tertiaire"",501,2658,1742,916,1758,1049,709"
"2021,""2055 Cheyres-Châbles"",""Secteur économique - total"",118,335,137,198,240,80,160"
"2021,""2055 Cheyres-Châbles"",""Secteur primaire"",22,74,21,53,51,9,42"
"2021,""2055 Cheyres-Châbles"",""Secteur secondaire"",21,77,23,54,62,14,48"
"2021,""2055 Cheyres-Châbles"",""Secteur tertiaire"",75,184,93,91,127,57,71"
"2021,""2061 Auboranges"",""Secteur économique - total"",26,55,18,37,34,8,26"
"2021,""2061 Auboranges"",""Secteur primaire"",6,15,X,X,10,X,X"
"2021,""2061 Auboranges"",""Secteur secondaire"",4,11,0,11,10,0,10"
"2021,""2061 Auboranges"",""Secteur tertiaire"",16,29,X,X,14,X,X"
"2021,""2063 Billens-Hennens"",""Secteur économique - total"",48,328,231,97,248,167,80"
"2021,""2063 Billens-Hennens"",""Secteur primaire"",15,41,X,X,27,X,X"
"2021,""2063 Billens-Hennens"",""Secteur secondaire"",6,25,X,X,20,X,X"
"2021,""2063 Billens-Hennens"",""Secteur tertiaire"",27,262,210,52,201,158,43"
"2021,""2066 Chapelle (Glâne)"",""Secteur économique - total"",27,48,22,26,32,13,19"
"2021,""2066 Chapelle (Glâne)"",""Secteur primaire"",5,11,X,X,7,X,X"
"2021,""2066 Chapelle (Glâne)"",""Secteur secondaire"",7,12,X,X,9,X,X"
"2021,""2066 Chapelle (Glâne)"",""Secteur tertiaire"",15,25,13,12,16,8,8"
"2021,""2067 Le Châtelard"",""Secteur économique - total"",42,156,36,120,126,22,104"
"2021,""2067 Le Châtelard"",""Secteur primaire"",24,62,13,49,50,9,42"
"2021,""2067 Le Châtelard"",""Secteur secondaire"",7,48,8,40,45,6,39"
"2021,""2067 Le Châtelard"",""Secteur tertiaire"",11,46,15,31,31,8,23"
"2021,""2068 Châtonnaye"",""Secteur économique - total"",64,179,67,112,125,35,90"
"2021,""2068 Châtonnaye"",""Secteur primaire"",17,41,X,X,26,X,X"
"2021,""2068 Châtonnaye"",""Secteur secondaire"",12,42,X,X,35,X,X"
"2021,""2068 Châtonnaye"",""Secteur tertiaire"",35,96,48,48,64,28,36"
"2021,""2072 Ecublens (FR)"",""Secteur économique - total"",33,76,27,49,51,12,39"
"2021,""2072 Ecublens (FR)"",""Secteur primaire"",12,29,X,X,21,X,X"
"2021,""2072 Ecublens (FR)"",""Secteur secondaire"",6,12,X,X,9,X,X"
"2021,""2072 Ecublens (FR)"",""Secteur tertiaire"",15,35,17,18,21,8,13"
"2021,""2079 Grangettes"",""Secteur économique - total"",22,56,22,34,41,12,29"
"2021,""2079 Grangettes"",""Secteur primaire"",X,20,X,X,15,X,X"
"2021,""2079 Grangettes"",""Secteur secondaire"",X,21,X,X,18,X,X"
"2021,""2079 Grangettes"",""Secteur tertiaire"",11,15,X,X,8,X,X"
"2021,""2086 Massonnens"",""Secteur économique - total"",33,99,41,58,69,21,48"
"2021,""2086 Massonnens"",""Secteur primaire"",12,34,X,X,26,X,X"
"2021,""2086 Massonnens"",""Secteur secondaire"",6,20,X,X,18,X,X"
"2021,""2086 Massonnens"",""Secteur tertiaire"",15,45,31,14,25,17,8"
"2021,""2087 Mézières (FR)"",""Secteur économique - total"",73,239,98,141,176,57,120"
"2021,""2087 Mézières (FR)"",""Secteur primaire"",24,63,19,44,44,9,35"
"2021,""2087 Mézières (FR)"",""Secteur secondaire"",15,106,28,78,90,18,72"
"2021,""2087 Mézières (FR)"",""Secteur tertiaire"",34,70,51,19,42,30,13"
"2021,""2089 Montet (Glâne)"",""Secteur économique - total"",15,34,12,22,23,6,16"
"2021,""2089 Montet (Glâne)"",""Secteur primaire"",X,5,X,X,4,X,X"
"2021,""2089 Montet (Glâne)"",""Secteur secondaire"",X,13,X,X,12,X,X"
"2021,""2089 Montet (Glâne)"",""Secteur tertiaire"",8,16,X,X,6,X,X"
"2021,""2096 Romont (FR)"",""Secteur économique - total"",466,4112,1668,2444,3308,1085,2223"
"2021,""2096 Romont (FR)"",""Secteur primaire"",21,59,13,46,43,9,34"
"2021,""2096 Romont (FR)"",""Secteur secondaire"",75,1521,232,1289,1442,186,1256"
"2021,""2096 Romont (FR)"",""Secteur tertiaire"",370,2532,1423,1109,1824,891,933"
"2021,""2097 Rue"",""Secteur économique - total"",100,228,108,120,147,56,91"
"2021,""2097 Rue"",""Secteur primaire"",29,69,X,X,49,X,X"
"2021,""2097 Rue"",""Secteur secondaire"",13,19,X,X,14,X,X"
"2021,""2097 Rue"",""Secteur tertiaire"",58,140,83,57,84,45,39"
"2021,""2099 Siviriez"",""Secteur économique - total"",180,623,260,363,445,143,302"
"2021,""2099 Siviriez"",""Secteur primaire"",58,164,52,112,116,24,92"
"2021,""2099 Siviriez"",""Secteur secondaire"",34,189,32,157,160,17,143"
"2021,""2099 Siviriez"",""Secteur tertiaire"",88,270,176,94,169,102,67"
"2021,""2102 Ursy"",""Secteur économique - total"",182,1099,499,600,830,314,516"
"2021,""2102 Ursy"",""Secteur primaire"",38,100,28,72,75,13,63"
"2021,""2102 Ursy"",""Secteur secondaire"",35,490,150,340,444,120,324"
"2021,""2102 Ursy"",""Secteur tertiaire"",109,509,321,188,311,181,130"
"2021,""2113 Vuisternens-devant-Romont"",""Secteur économique - total"",211,777,311,466,570,188,381"
"2021,""2113 Vuisternens-devant-Romont"",""Secteur primaire"",83,200,48,152,149,25,125"
"2021,""2113 Vuisternens-devant-Romont"",""Secteur secondaire"",38,181,26,155,154,13,141"
"2021,""2113 Vuisternens-devant-Romont"",""Secteur tertiaire"",90,396,237,159,266,151,116"
"2021,""2114 Villorsonnens"",""Secteur économique - total"",101,404,148,256,318,102,217"
