,INSEE_COM,distance_interne
0,34286,1.49754400385319
1,30258,3.55319878111129
2,34011,0.762512083798276
3,34173,1.38217052868631
4,34287,0.911376257518884
5,81004,1.93332099571206
6,81284,0.705949013499896
7,81059,0.955859482898004
8,30141,1.68049478470331
9,30081,1.03912881184185
10,30191,0.762512083798276
11,30251,0.911376257518884
12,34106,0.64444033190402
13,34306,0.955859482898004
14,30052,1.52502416759655
15,30339,2.82379605399958
16,34246,1.18828925801234
17,34047,0.576404955831966
18,81268,0.955859482898004
19,34222,0.49918133461773
20,30073,1.22273955893495
21,30260,1.18828925801234
22,34281,1.41189802699979
23,34204,0.705949013499896
24,34138,0.705949013499896
25,34045,1.55201784140211
26,34103,1.22273955893495
27,48038,1.8677655280121
28,48126,2.05817736896569
29,48127,3.50613446761288
30,34058,1.41189802699979
31,12187,1.97581664357169
32,12214,2.52896648007092
33,30032,2.67267982964935
34,30033,1.52502416759655
35,30057,1.11620339730431
36,30228,1.91171896579601
37,30001,1.52502416759655
38,30019,0.99836266923546
39,30237,0.955859482898004
40,30020,0.864607433747949
41,30034,1.93332099571206
42,30056,1.18828925801234
43,30239,1.25624547651378
44,30064,1.77659939055564
45,30115,1.03912881184185
46,30206,0.99836266923546
47,30279,0.99836266923546
48,30353,1.35178944443729
49,30303,0.955859482898004
50,30308,1.35178944443729
51,30319,1.03912881184185
52,34147,1.32070967052383
53,34162,1.82275251503777
54,34068,0.576404955831966
55,34095,1.63031941191326
56,34018,0.99836266923546
57,34122,0.407579852978316
58,34200,1.49754400385319
59,34125,0.64444033190402
60,34175,1.07835493038089
61,34184,0.864607433747949
62,34310,1.07835493038089
63,34191,0.705949013499896
64,34315,0.49918133461773
65,34223,0.705949013499896
66,34237,1.18828925801234
67,34239,1.28888066380804
68,34262,0.705949013499896
69,34270,1.03912881184185
70,34285,1.07835493038089
71,34319,0.955859482898004
72,34323,0.762512083798276
73,34327,0.864607433747949
74,48163,0.576404955831966
75,34010,1.57854998283468
76,34260,1.41189802699979
77,34267,1.07835493038089
78,34117,0.911376257518884
79,34210,1.07835493038089
80,34328,1.18828925801234
81,34091,1.35178944443729
82,34277,2.39398958040902
83,34278,1.46955005875939
84,34317,1.88987003148556
85,48117,1.63031941191326
86,34292,0.864607433747949
87,34156,0.762512083798276
88,34093,1.25624547651378
89,34186,1.35178944443729
90,34040,0.911376257518884
91,81233,2.65709555784838
92,34029,0.576404955831966
93,34088,1.55201784140211
94,34187,1.25624547651378
95,34291,1.15280991166393
96,81313,0.911376257518884
97,34233,1.38217052868631
98,12155,2.05817736896569
99,34071,1.52502416759655
100,34282,1.03912881184185
101,81064,2.73412877255665
102,34201,0.99836266923546
103,30148,0.911376257518884
104,30161,0.407579852978316
105,12164,1.28888066380804
106,30262,0.576404955831966
107,12280,1.79982389771877
108,12277,1.79982389771877
109,12151,1.25624547651378
110,12036,1.91171896579601
111,12051,1.91171896579601
112,12226,1.75306723380644
113,48130,1.35178944443729
114,30311,1.63031941191326
115,30198,1.60464348581992
116,34236,1.44101238957992
117,12237,1.55201784140211
118,48148,2.05817736896569
119,30106,1.15280991166393
120,48141,2.19488468035588
121,30009,1.52502416759655
122,12076,2.96722611833894
123,48145,1.77659939055564
124,81277,1.22273955893495
125,81154,0.911376257518884
126,30092,0.864607433747949
127,30208,0.815159705956631
128,48037,1.03912881184185
129,30021,0.815159705956631
130,30022,1.15280991166393
131,34264,1.18828925801234
132,48050,1.55201784140211
133,30071,0.64444033190402
134,30005,1.28888066380804
135,30274,1.07835493038089
136,30168,1.60464348581992
137,30130,1.18828925801234
138,30096,1.15280991166393
139,30235,0.762512083798276
140,34251,1.28888066380804
141,30295,1.41189802699979
142,12270,4.17645068666585
143,30203,1.11620339730431
144,30080,1.22273955893495
145,30008,1.44101238957992
146,30301,0.64444033190402
147,48068,1.28888066380804
148,48131,0.407579852978316
149,34152,1.25624547651378
150,30225,1.7292148674959
151,12275,1.44101238957992
152,30117,1.77659939055564
153,30125,0.99836266923546
154,30143,0.911376257518884
155,30232,0.911376257518884
156,30226,1.03912881184185
157,30290,1.18828925801234
158,30277,0.911376257518884
159,30242,0.815159705956631
160,30175,1.35178944443729
161,30230,0.99836266923546
162,30273,1.03912881184185
163,30151,1.97581664357169
164,30287,0.911376257518884
165,30331,1.22273955893495
166,30342,1.25624547651378
167,30036,1.03912881184185
168,30084,0.64444033190402
169,30343,1.46955005875939
170,30222,0.815159705956631
171,30076,0.955859482898004
172,30333,0.864607433747949
173,30304,0.911376257518884
174,30059,1.57854998283468
175,30070,0.99836266923546
176,30202,1.25624547651378
177,30347,0.955859482898004
178,30124,0.955859482898004
179,30256,0.99836266923546
180,30128,1.41189802699979
181,30282,0.911376257518884
182,30276,2.73412877255665
183,30341,3.03640151803698
184,48175,1.15280991166393
185,34120,0.49918133461773
186,30327,0.911376257518884
187,30113,0.955859482898004
188,30288,0.762512083798276
189,30293,0.99836266923546
190,30215,0.911376257518884
191,30048,1.57854998283468
192,30205,0.815159705956631
193,48067,0.815159705956631
194,34031,1.52502416759655
195,34165,1.32070967052383
196,34172,2.17588099210045
197,30003,2.19488468035588
198,30178,0.576404955831966
199,30038,0.815159705956631
200,30209,1.41189802699979
201,30254,0.815159705956631
202,30221,1.46955005875939
203,30067,1.44101238957992
204,30011,1.18828925801234
205,30351,1.22273955893495
206,30030,0.911376257518884
207,30111,0.576404955831966
208,30320,1.07835493038089
209,30049,0.762512083798276
210,30102,0.99836266923546
211,30241,1.03912881184185
212,30338,1.03912881184185
213,30055,1.03912881184185
