,NOM_COM,INSEE_COM,x,y
109,Montézic,12151,671592.771392405,6402030.34870971
110,Brommat,12036,676680.067173488,6414461.68774537
111,Cantoin,12051,686160.171955447,6415576.85698517
112,Saint-Hippolyte,12226,667075.091061755,6403097.83561306
113,Rousses,48130,745844.467631328,6343993.2544418
114,Sauve,30311,776675.845610526,6315837.80081042
115,Les Plantiers,30198,757065.017338035,6334582.56334653
116,Rouet,34236,765687.874433275,6303337.30329054
117,Saint-Laurent-d'Olt,12237,708044.277702324,6372135.27182022
118,Saint-Étienne-Vallée-Française,48148,768493.576922012,6341746.55570556
119,Durfort-et-Saint-Martin-de-Sossenac,30106,776510.3387818,6321193.41998333
120,Mas-Saint-Chély,48141,733108.176945045,6356817.46086095
121,Alzon,30009,735874.475725699,6319534.39048353
122,Conques-en-Rouergue,12076,651570.408664323,6387448.77015508
123,Saint-Denis-en-Margeride,48145,737482.571358152,6404792.83300104
124,Saussenac,81277,640221.742263421,6321916.64053199
125,Marnaves,81154,609709.701505038,6333633.25591154
126,Connaux,30092,828056.990353687,6332202.08780791
127,Puechredon,30208,784767.282975258,6316649.32139962
128,Chadenet,48037,750919.92915632,6379426.34023479
129,Aubussargues,30021,806380.215024629,6324354.62566267
130,Aujac,30022,781156.056525894,6362294.00908639
131,Saint-Jean-de-Buèges,34264,748653.426732919,6304105.08801866
132,Bédouès-Cocurès,48050,750953.471019958,6361264.0286584
133,Cassagnoles,30071,790339.619377975,6325158.79524289
134,Aiguèze,30005,820996.746469682,6358665.23894264
135,Saint-Julien-les-Rosiers,30274,787950.451633826,6344082.63397237
136,Mialet,30168,775076.221840988,6336694.78125186
137,Génolhac,30130,775874.857201361,6361036.53171171
138,Cornillon,30096,819396.806017814,6347792.50025074
139,Saint-Bonnet-du-Gard,30235,823574.273973375,6315464.91411073
140,Saint-Étienne-de-Gourgas,34251,730986.333007855,6298429.77218073
141,Saint-Quentin-la-Poterie,30295,815251.299893544,6329738.22239661
142,Sévérac d'Aveyron,12270,703353.068229655,6357711.07216562
143,Portes,30203,782947.84716176,6352176.05187148
144,Chamborigaud,30080,776786.024409082,6356138.85437238
145,Allègre-les-Fumades,30008,800196.80257819,6345062.11846723
146,Saint-Victor-des-Oules,30301,818969.088189902,6328228.08552459
147,Gabrias,48068,730122.80792379,6383899.11431556
148,Le Rozier,48131,717498.950969011,6344118.26460547
149,Mas-de-Londres,34152,762305.650597553,6299056.39759554
150,Sabran,30225,824107.997659629,6340258.73030052
151,Tauriac-de-Camarès,12275,702488.956028313,6297464.92221112
152,Fourques,30117,824848.594260414,6291505.35565102
153,Garons,30125,815825.999622276,6298011.77071957
154,Laval-Saint-Roman,30143,820039.560900643,6356865.7822864
155,Saint-André-d'Olérargues,30232,819690.287351581,6341877.23482406
156,Saint-Alexandre,30226,830344.845232905,6348569.83369688
157,Saint-Paulet-de-Caisson,30290,826674.422425187,6352596.03997123
158,Saint-Laurent-de-Carnols,30277,822366.647788197,6348595.81989526
159,Saint-Christol-de-Rodières,30242,820859.258422231,6353076.43961289
160,Montclus,30175,813206.095879613,6353255.60105325
161,Saint-André-de-Roquepertuis,30230,815601.764174286,6350126.61649555
162,Saint-Julien-de-Peyrolas,30273,825127.870763948,6355035.1693121
163,Lussan,30151,809995.979430068,6341806.55237778
164,Saint-Michel-d'Euzet,30287,823966.449917055,6346383.8540173
165,Tresques,30331,827503.382177143,6336658.11146769
166,Vénéjan,30342,833345.923641646,6345812.45117675
167,Bernis,30036,803348.072159846,6297752.48283825
168,Codolet,30084,836134.997310645,6337921.44103784
169,Verfeuil,30343,815830.014883972,6341816.01989392
170,La Roque-sur-Cèze,30222,821406.720490186,6344680.2456112
171,Cavillargues,30076,821483.192910287,6336540.6201573
172,Uchaud,30333,801869.692150077,6296353.23133395
173,Salazac,30304,822691.122443732,6352095.88020025
174,Le Cailar,30059,800275.409322555,6285152.28972051
175,Carsan,30070,826631.179752259,6349179.26716838
176,Pont-Saint-Esprit,30202,830888.731807688,6351748.23929286
177,Vestric-et-Candiac,30347,801873.921362715,6293803.52771324
178,Le Garn,30124,816882.505050029,6358165.39849597
179,Saint-Gervais,30256,826227.782798805,6345284.0537428
180,Générac,30128,809531.567247227,6292585.43077539
181,Saint-Marcel-de-Careiret,30282,818768.622940246,6339253.07110423
182,Saint-Laurent-d'Aigouze,30276,800421.797305567,6275435.56329012
183,Vauvert,30341,805425.287598387,6281599.0627631
184,Saint-Pierre-de-Nogaret,48175,710076.101762618,6376515.92036174
185,Jacou,34120,773568.930990815,6285328.1223206
186,Tharaux,30327,805645.89558326,6350101.09786964
187,Fons-sur-Lussan,30113,806170.464992225,6343817.50902193
188,Saint-Nazaire,30288,829706.723247104,6345915.75364881
189,Saint-Privat-de-Champclos,30293,808184.004527317,6353970.53181069
190,Rivières,30215,802907.203987749,6346986.05530147
191,Bouquet,30048,803373.130502104,6340268.75586595
192,Pougnadoresse,30205,820837.414248182,6333662.74206944
193,Gabriac,48067,756860.110027304,6342408.88146684
194,Bessan,34031,733743.85053325,6250972.57133105
195,Montbazin,34165,754378.196594662,6270625.93272819
196,Montpellier,34172,770192.263768254,6279753.15352104
197,Aigues-Mortes,30003,795726.481831221,6273102.87709686
198,Montfaucon,30178,839687.017692797,6332641.51159529
199,Bez-et-Esparon,30038,742846.929351558,6320123.10002568
200,Pujaut,30209,841527.587145419,6323866.4200352
201,Saint-Geniès-de-Comolas,30254,838669.014067666,6331154.01002162
202,Roquemaure,30221,840785.581521716,6328534.82798508
