COM,NAME,PTOT
010535358066,Klein Zecher,247
010535358078,Kulpin,210
010535358088,Mechow,141
010535358093,Mustin (Kreis Herzogtum Lauenburg),732
010535358098,Pogeez,510
010535358102,Römnitz,49
010535358107,Salem (Kreis Herzogtum Lauenburg),693
010535358110,Schmilau,572
010535358117,Seedorf (Kreis Herzogtum Lauenburg),595
010535358123,Sterley,927
010535358136,Ziethen (Kreis Herzogtum Lauenburg),1157
010535373007,Basthorst,437
010535373017,Brunstorf,783
010535373021,Dahmker,157
010535373027,Elmenhorst (Kreis Herzogtum Lauenburg),881
010535373031,Fuhlenhagen,389
010535373036,Grabau (Kreis Herzogtum Lauenburg),363
010535373042,Groß Pampau,175
010535373045,Grove,263
010535373047,Gülzow (Kreis Herzogtum Lauenburg),1368
010535373049,Hamfelde (Kreis Herzogtum Lauenburg),505
010535373052,Havekost,194
010535373059,Kankelau,231
010535373060,Kasseburg,578
010535373070,Köthel (Kreis Herzogtum Lauenburg),301
010535373071,Kollow,622
010535373076,Kuddewörde,1707
010535373089,Möhnsen,554
010535373091,Mühlenrade,206
010535373106,Sahms,460
010535391025,Duvensee,554
010535391038,Grinau,288
010535391039,Groß Boden,213
010535391044,Groß Schenkenberg,572
010535391068,Klinkrade,614
010535391069,Koberg,791
010535391077,Kühsen,358
010535391079,Labenz,882
010535391081,Lankau,462
010535391085,Linau,1222
010535391086,Lüchow,307
010535391096,Nusse,1176
010535391097,Panten,651
010535391099,Poggensee,363
010535391101,Ritzerau,307
010535391108,Sandesneben,1886
010535391109,Schiphorst,681
010535391112,Schönberg (Kreis Herzogtum Lauenburg),1449
010535391114,Schürensöhlen,158
010535391118,Siebenbäumen,607
010535391121,Sirksfelde,333
010535391122,Steinhorst (Kreis Herzogtum Lauenburg),564
010535391124,Stubben (Kreis Herzogtum Lauenburg),381
010535391127,Walksfelde,209
010535391130,Wentorf (Amt Sandesneben),717
010540033033,"Friedrichstadt, Stadt",2614
010540056056,"Husum, Stadt",23628
010540108108,Reußenköge,311
010540138138,"Tönning, Stadt",4789
010540168168,Sylt,14579
010545417035,"Garding, Kirchspiel",326
010545417036,"Garding, Stadt",2771
010545417040,Grothusenkoog,25
010545417063,Katharinenheerd,157
010545417072,Kotzenbüll,188
010545417090,Norderfriedrichskoog,54
010545417095,Oldenswort,1237
010545417100,Osterhever,223
010545417104,Poppenbüll,236
010545417113,Sankt Peter-Ording,3809
010545417134,Tating,999
010545417135,Tetenbüll,645
010545417140,Tümlauer Koog,106
010545417145,Vollerwiek,208
010545417148,Welt,191
010545417150,Westerhever,97
010545439046,Hörnum (Sylt),854
010545439061,Kampen (Sylt),533
010545439078,List auf Sylt,1404
010545439149,Wenningstedt-Braderup (Sylt),1441
010545453003,Ahrenviöl,524
010545453004,Ahrenviölfeld,224
010545453011,Behrendorf,551
010545453013,Bondelum,186
010545453041,Haselund,920
010545453057,Immenstedt (Kreis Nordfriesland),671
010545453079,Löwenstedt,705
010545453092,Norstedt,391
010545453101,Oster-Ohrstedt,665
010545453118,Schwesing,937
010545453123,Sollwitt,285
010545453144,Viöl,2248
010545453152,Wester-Ohrstedt,1078
010545459039,Gröde,9
010545459050,Hallig Hooge,100
010545459074,Langeneß,136
010545459103,Pellworm,1231
010545488005,Alkersum,392
010545488015,Borgsum,305
010545488025,Dunsum,77
010545488083,Midlum (Kreis Nordfriesland),467
010545488085,Nebel,921
010545488087,Nieblum,582
010545488089,Norddorf auf Amrum,571
010545488094,Oevenum,454
010545488098,Oldsum,561
010545488129,Süderende,178
010545488143,Utersum,412
010545488158,Witsum,41
010545488160,Wittdün auf Amrum,814
010545488163,Wrixum,561
010545488164,"Wyk auf Föhr, Stadt",4217
010545489001,Achtrup,1534
010545489009,Aventoft,406
010545489016,Bosbüll,260
010545489017,Braderup,662
010545489018,Bramstedtlund,212
010545489022,Dagebüll,918
010545489027,Ellhöft,105
010545489034,Friedrich-Wilhelm-Lübke-Koog,169
010545489048,Holm (Kreis Nordfriesland),93
010545489055,Humptrup,756
010545489062,Karlum,214
010545489065,Klanxbüll,1059
010545489068,Klixbüll,1058
010545489073,Ladelund,1405
010545489076,Leck,7832
010545489077,Lexgaard,55
